Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:31:02.610,TileFrenzyStrafing Cube,LG,0.373000s,9,9,1.000000,54.000000,54.000000,1.000000,0,4
2,22:31:03.367,TileFrenzyStrafing Cube,LG,0.506000s,12,12,1.000000,72.000000,72.000000,1.000000,0,0
3,22:31:03.849,TileFrenzyStrafing Cube,LG,0.229000s,6,6,1.000000,36.000000,36.000000,1.000000,0,5
4,22:31:05.025,TileFrenzyStrafing Cube,LG,0.872000s,20,14,0.700000,84.000000,120.000000,0.700000,0,3
5,22:31:05.651,TileFrenzyStrafing Cube,LG,0.274000s,7,4,0.571429,24.000000,42.000000,0.571429,0,4
6,22:31:06.520,TileFrenzyStrafing Cube,LG,0.504000s,12,9,0.750000,54.000000,72.000000,0.750000,0,4
7,22:31:07.384,TileFrenzyStrafing Cube,LG,0.502000s,12,9,0.750000,54.000000,72.000000,0.750000,0,5
8,22:31:08.033,TileFrenzyStrafing Cube,LG,0.460000s,11,9,0.818182,54.000000,66.000000,0.818182,0,3
9,22:31:08.615,TileFrenzyStrafing Cube,LG,0.366000s,9,9,1.000000,54.000000,54.000000,1.000000,0,2
10,22:31:09.237,TileFrenzyStrafing Cube,LG,0.369000s,9,9,1.000000,54.000000,54.000000,1.000000,0,5
11,22:31:10.018,TileFrenzyStrafing Cube,LG,0.508000s,12,9,0.750000,54.000000,72.000000,0.750000,0,5
12,22:31:11.256,TileFrenzyStrafing Cube,LG,0.963000s,22,9,0.409091,54.000000,132.000000,0.409091,0,5
13,22:31:11.995,TileFrenzyStrafing Cube,LG,0.463000s,11,9,0.818182,54.000000,66.000000,0.818182,0,5
14,22:31:12.707,TileFrenzyStrafing Cube,LG,0.462000s,11,9,0.818182,54.000000,66.000000,0.818182,0,4
15,22:31:13.332,TileFrenzyStrafing Cube,LG,0.371000s,9,9,1.000000,54.000000,54.000000,1.000000,0,5
16,22:31:14.848,TileFrenzyStrafing Cube,LG,1.241000s,28,9,0.321429,54.000000,168.000000,0.321429,0,5
17,22:31:16.049,TileFrenzyStrafing Cube,LG,0.924000s,21,9,0.428571,54.000000,126.000000,0.428571,0,5
18,22:31:17.195,TileFrenzyStrafing Cube,LG,0.872000s,20,16,0.800000,96.000000,120.000000,0.800000,0,5
19,22:31:17.513,TileFrenzyStrafing Cube,LG,0.047000s,2,2,1.000000,12.000000,12.000000,1.000000,0,5
20,22:31:19.265,TileFrenzyStrafing Cube,LG,1.475000s,33,16,0.484848,96.000000,198.000000,0.484848,0,5
21,22:31:19.585,TileFrenzyStrafing Cube,LG,0.047000s,2,2,1.000000,12.000000,12.000000,1.000000,0,5
22,22:31:20.830,TileFrenzyStrafing Cube,LG,0.964000s,22,9,0.409091,54.000000,132.000000,0.409091,0,5
23,22:31:21.449,TileFrenzyStrafing Cube,LG,0.371000s,9,9,1.000000,54.000000,54.000000,1.000000,0,4
24,22:31:22.208,TileFrenzyStrafing Cube,LG,0.507000s,12,9,0.750000,54.000000,72.000000,0.750000,0,5
25,22:31:23.363,TileFrenzyStrafing Cube,LG,0.874000s,20,9,0.450000,54.000000,120.000000,0.450000,0,5
26,22:31:24.510,TileFrenzyStrafing Cube,LG,0.874000s,20,9,0.450000,54.000000,120.000000,0.450000,0,5
27,22:31:25.246,TileFrenzyStrafing Cube,LG,0.459000s,11,9,0.818182,54.000000,66.000000,0.818182,0,5
28,22:31:26.857,TileFrenzyStrafing Cube,LG,1.337000s,30,14,0.466667,84.000000,180.000000,0.466667,0,5
29,22:31:28.055,TileFrenzyStrafing Cube,LG,0.921000s,21,12,0.571429,72.000000,126.000000,0.571429,0,5
30,22:31:28.508,TileFrenzyStrafing Cube,LG,0.184000s,5,1,0.200000,6.000000,30.000000,0.200000,0,5
31,22:31:30.051,TileFrenzyStrafing Cube,LG,1.289000s,29,17,0.586207,102.000000,174.000000,0.586207,0,4
32,22:31:30.304,TileFrenzyStrafing Cube,LG,0.000000s,1,1,1.000000,6.000000,6.000000,1.000000,0,5
33,22:31:31.318,TileFrenzyStrafing Cube,LG,0.733000s,17,9,0.529412,54.000000,102.000000,0.529412,0,5
34,22:31:31.842,TileFrenzyStrafing Cube,LG,0.413000s,10,9,0.900000,54.000000,60.000000,0.900000,0,1
35,22:31:33.432,TileFrenzyStrafing Cube,LG,1.336000s,30,16,0.533333,96.000000,180.000000,0.533333,0,5
36,22:31:33.777,TileFrenzyStrafing Cube,LG,0.139000s,4,2,0.500000,12.000000,24.000000,0.500000,0,3
37,22:31:34.768,TileFrenzyStrafing Cube,LG,0.736000s,17,9,0.529412,54.000000,102.000000,0.529412,0,5
38,22:31:35.412,TileFrenzyStrafing Cube,LG,0.370000s,9,9,1.000000,54.000000,54.000000,1.000000,0,5
39,22:31:36.100,TileFrenzyStrafing Cube,LG,0.409000s,10,9,0.900000,54.000000,60.000000,0.900000,0,5
