Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:32:29.479,TileFrenzy Cube,LG,0.150000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
2,16:32:30.197,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
3,16:32:31.092,TileFrenzy Cube,LG,0.145000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
4,16:32:31.782,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
5,16:32:32.677,TileFrenzy Cube,LG,0.146000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
6,16:32:33.480,TileFrenzy Cube,LG,0.149000s,4,4,1.000000,4.000000,4.000000,1.000000,0,2
7,16:32:34.224,TileFrenzy Cube,LG,0.146000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
8,16:32:35.158,TileFrenzy Cube,LG,0.145000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
9,16:32:36.021,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
10,16:32:36.710,TileFrenzy Cube,LG,0.149000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
11,16:32:37.341,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
12,16:32:38.153,TileFrenzy Cube,LG,0.766000s,5,5,1.000000,5.000000,5.000000,1.000000,0,0
13,16:32:38.864,TileFrenzy Cube,LG,0.099000s,3,3,1.000000,3.000000,3.000000,1.000000,0,2
14,16:32:40.696,TileFrenzy Cube,LG,1.168000s,6,4,0.666667,4.000000,6.000000,0.666667,0,1
15,16:32:41.355,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
16,16:32:42.132,TileFrenzy Cube,LG,0.149000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
17,16:32:43.448,TileFrenzy Cube,LG,0.429000s,8,4,0.500000,4.000000,8.000000,0.500000,0,0
18,16:32:44.148,TileFrenzy Cube,LG,0.146000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
19,16:32:44.799,TileFrenzy Cube,LG,0.150000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
20,16:32:45.604,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,2
21,16:32:46.431,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,2
22,16:32:47.164,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
23,16:32:48.037,TileFrenzy Cube,LG,0.149000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
24,16:32:48.911,TileFrenzy Cube,LG,0.820000s,5,5,1.000000,5.000000,5.000000,1.000000,0,1
25,16:32:49.699,TileFrenzy Cube,LG,0.097000s,3,3,1.000000,3.000000,3.000000,1.000000,0,2
26,16:32:50.399,TileFrenzy Cube,LG,0.146000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
27,16:32:51.098,TileFrenzy Cube,LG,0.150000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
28,16:32:51.949,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,2
29,16:32:52.838,TileFrenzy Cube,LG,0.147000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
30,16:32:53.632,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
31,16:32:54.440,TileFrenzy Cube,LG,0.148000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
32,16:32:55.246,TileFrenzy Cube,LG,0.149000s,4,4,1.000000,4.000000,4.000000,1.000000,0,1
33,16:32:56.036,TileFrenzy Cube,LG,0.146000s,4,4,1.000000,4.000000,4.000000,1.000000,0,0
