Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,01:08:05.327,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,01:08:05.913,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,01:08:06.720,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,01:08:07.317,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,01:08:08.090,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,01:08:08.620,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,01:08:09.274,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,01:08:10.026,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,01:08:10.511,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,01:08:11.140,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,01:08:11.837,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,01:08:12.512,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,01:08:13.170,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,01:08:13.867,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,01:08:14.637,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,01:08:15.240,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,01:08:15.807,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,01:08:16.464,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,01:08:17.211,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,01:08:17.928,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,01:08:18.579,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,01:08:19.285,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,01:08:19.966,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,01:08:20.621,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,01:08:21.404,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,01:08:22.166,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,01:08:22.765,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,01:08:23.432,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,01:08:24.158,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,01:08:24.696,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,01:08:25.395,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,01:08:26.015,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,01:08:28.241,target,BB Gun,1.391000s,3,1,0.333333,1.000000,3.000000,0.333333,0,0
34,01:08:28.829,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,01:08:29.615,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,01:08:30.232,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
37,01:08:30.762,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,01:08:31.274,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,01:08:32.070,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,01:08:32.763,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,01:08:33.428,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,01:08:34.100,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,01:08:34.837,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,01:08:35.602,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,01:08:36.374,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,01:08:37.286,target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,01:08:37.986,target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
