Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:04:37.413,air1_far_short,Track Master 100,9.989000s,1000,78,0.078000,0.780000,10.000134,0.077999,0,26
2,00:04:48.917,air1F_close_long,Track Master 100,11.240001s,1124,115,0.102313,1.149999,11.240162,0.102312,0,26
3,00:05:00.420,air1F_close_short 7,Track Master 100,11.243001s,1114,82,0.073609,0.820000,11.140160,0.073608,0,26
4,00:05:11.881,air_close_short,Track Master 100,11.239000s,1125,161,0.143111,1.609999,11.250162,0.143109,0,20
5,00:05:23.174,air1F_far_short,Track Master 100,11.283001s,1129,80,0.070859,0.800000,11.290163,0.070858,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5492,516,5.160023,54.91679,

Kills:,5
Deaths:,0
Fight Time:,54.993999
Time Remaining:,0.0
Avg TTK:,11.2
Damage Done:,5.160023
Total Overshots:,98
Damage Taken:,0.0
Hit Count:,516
Miss Count:,4976
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,516.002319
Scenario:,VT Air Advanced Small
Hash:,0b0f7a3b78a1dcc1d31dcf45a3613b00
Game Version:,3.6.0.2024-09-03-20-01-54-cb47c9aa95
Challenge Start:,00:04:27.167
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,177.882874
Resolution Scale:,100.0
