Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:51:36.053,air1_far_short,Track Master 100,9.993000s,961,415,0.431842,4.150000,9.610125,0.431836,0,25
2,23:51:47.621,air1F_close_long,Track Master 100,11.300000s,1085,446,0.411060,4.460007,10.850153,0.411055,0,26
3,23:51:59.187,air1F_close_short 7,Track Master 100,11.291000s,1085,277,0.255300,2.769998,10.850153,0.255296,0,25
4,23:52:10.752,air_close_short,Track Master 100,11.295000s,1085,437,0.402765,4.370005,10.850153,0.402760,0,25
5,23:52:22.059,air1F_far_short,Track Master 100,11.301001s,1085,236,0.217512,2.359998,10.850153,0.217508,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5301,1811,18.110319,53.007111,

Kills:,5
Deaths:,0
Fight Time:,55.18
Time Remaining:,0.0
Avg TTK:,11.718796
Damage Done:,18.110319
Total Overshots:,101
Damage Taken:,0.0
Hit Count:,1811
Miss Count:,3490
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,1811.03186
Scenario:,VT Air Intermediate
Hash:,6c8a32e397f020abbfa5cc2b07879fab
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,23:51:25.793
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,229.343292
Resolution Scale:,100.0
