Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:10:08.325,air1_far_short,Track Master 100,9.987000s,961,353,0.367326,3.529997,9.610125,0.367321,0,25
2,00:10:19.888,air1F_close_long,Track Master 100,11.293000s,1085,369,0.340092,3.689997,10.850153,0.340087,0,25
3,00:10:31.455,air1F_close_short 7,Track Master 100,11.293000s,1085,342,0.315207,3.419997,10.850153,0.315203,0,25
4,00:10:43.018,air_close_short,Track Master 100,11.296000s,1085,459,0.423041,4.590010,10.850153,0.423036,0,25
5,00:10:54.325,air1F_far_short,Track Master 100,11.298000s,1085,243,0.223963,2.429998,10.850153,0.223960,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5301,1766,17.660309,53.007111,

Kills:,5
Deaths:,0
Fight Time:,55.167
Time Remaining:,0.0
Avg TTK:,11.718751
Damage Done:,17.660309
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,1766
Miss Count:,3535
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,1766.030884
Scenario:,VT Air Intermediate
Hash:,6c8a32e397f020abbfa5cc2b07879fab
Game Version:,3.6.0.2024-09-03-20-01-54-cb47c9aa95
Challenge Start:,00:09:58.069
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,194.822891
Resolution Scale:,100.0
