Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,19:25:38.073,air1_far_short,Track Master 100,9.989000s,961,187,0.194589,1.869999,9.610125,0.194586,0,25
2,19:25:49.745,air1F_close_long,Track Master 100,11.399000s,1095,115,0.105023,1.149999,10.950155,0.105021,0,25
3,19:26:01.308,air1F_close_short 7,Track Master 100,11.298000s,1085,181,0.166820,1.809999,10.850153,0.166818,0,25
4,19:26:12.875,air_close_short,Track Master 100,11.297001s,1085,210,0.193548,2.099998,10.850153,0.193546,0,26
5,19:26:24.281,air1F_far_short,Track Master 100,11.395000s,1095,135,0.123288,1.349999,10.950155,0.123286,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5321,828,8.280094,53.207077,

Kills:,5
Deaths:,0
Fight Time:,55.377998
Time Remaining:,0.0
Avg TTK:,11.762198
Damage Done:,8.280094
Total Overshots:,101
Damage Taken:,0.0
Hit Count:,828
Miss Count:,4493
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.000002
MBS Points:,0.0
Score:,828.009399
Scenario:,VT Air Intermediate Small
Hash:,e01c114a631af359f9c5a8eb9004ee6c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,19:25:27.815
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,204.126648
Resolution Scale:,100.0
