Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:32:14.208,Mid,b180 pistol,0.536000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
2,02:32:15.220,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,02:32:23.008,High,b180 pistol,7.119000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
4,02:32:23.915,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,02:32:25.947,Low,b180 pistol,1.063000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
6,02:32:27.091,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,02:32:28.673,Mid,b180 pistol,0.712000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
8,02:32:29.897,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,02:32:31.147,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,02:32:31.731,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,02:32:32.440,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,02:32:33.193,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,02:32:34.079,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,02:32:35.696,Mid,b180 pistol,0.884000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
15,02:32:37.011,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,02:32:39.599,Mid,b180 pistol,1.619000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
17,02:32:41.716,Mid,b180 pistol,1.144000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
18,02:32:44.149,Low,b180 pistol,0.568000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
19,02:32:47.494,Mid,b180 pistol,1.171000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
20,02:32:48.718,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
21,02:32:50.284,Low,b180 pistol,0.980000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
22,02:32:55.602,Mid,b180 pistol,4.525000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
23,02:32:56.166,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,02:32:58.550,Mid,b180 pistol,1.583000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
25,02:32:59.823,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,02:33:01.055,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
27,02:33:06.149,High,b180 pistol,3.959000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
28,02:33:06.994,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
29,02:33:10.777,Mid,b180 pistol,2.563000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
30,02:33:11.540,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,56,30,1500.0,7000.0,

Kills:,30
Deaths:,0
Fight Time:,28.427
Time Remaining:,0.0
Avg TTK:,2.5
Damage Done:,1500.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,30
Miss Count:,26
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,2
Distance Traveled:,34352.859375
MBS Points:,164.103989
Score:,464.104004
Scenario:,VT ArcStrafe Intermediate
Hash:,b72788440414dde22b8acc41b10f9468
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,02:32:12.120
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,216.664001
Resolution Scale:,100.0
