Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:59:59.187,Mid,b180 pistol,4.484000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
2,15:00:06.821,Low,b180 pistol,6.787000s,6,1,0.166667,50.000000,750.000000,0.066667,0,0
3,15:00:07.808,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,15:00:13.881,Mid,b180 pistol,5.405000s,6,1,0.166667,50.000000,750.000000,0.066667,0,0
5,15:00:14.833,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,15:00:26.214,Low,b180 pistol,10.580001s,8,1,0.125000,50.000000,1000.000000,0.050000,0,0
7,15:00:27.301,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,15:00:29.887,Mid,b180 pistol,0.708000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
9,15:00:30.990,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,15:00:33.950,Mid,b180 pistol,1.651000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
11,15:00:36.963,Mid,b180 pistol,1.360000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
12,15:00:44.014,High,b180 pistol,6.247000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
13,15:00:45.169,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,15:00:51.519,Mid,b180 pistol,5.283000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
15,15:00:52.184,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,48,15,750.0,6000.0,

Kills:,15
Deaths:,0
Fight Time:,42.505001
Time Remaining:,0.0
Avg TTK:,4.705851
Damage Done:,750.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,15
Miss Count:,33
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,7
Distance Traveled:,0.0
MBS Points:,0.0
Score:,150.0
Scenario:,VT Bounceshot Advanced 20% smaller
Hash:,58bcd14eb396f2e391b3996247beb3e3
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:59:53.361
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,240.316757
Resolution Scale:,100.0
