Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:54:04.523,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,14:54:05.793,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,14:54:07.066,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,14:54:08.625,Mid,b180 pistol,1.180000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
5,14:54:09.421,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,14:54:11.715,Low,b180 pistol,1.451000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
7,14:54:13.011,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,14:54:13.673,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,14:54:32.908,High,b180 pistol,18.214001s,12,1,0.083333,50.000000,1500.000000,0.033333,0,0
10,14:54:33.735,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,14:54:35.315,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,14:54:36.807,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,14:54:39.831,Mid,b180 pistol,1.354000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
14,14:54:40.406,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,14:54:41.469,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,14:54:43.761,Mid,b180 pistol,0.921000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
17,14:54:45.189,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
18,14:54:56.441,Mid,b180 pistol,9.798000s,6,1,0.166667,50.000000,750.000000,0.066667,0,0
19,14:54:58.973,Low,b180 pistol,0.796000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
20,14:55:00.340,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
b180 pistol,42,20,1000.0,5250.0,

Kills:,20
Deaths:,0
Fight Time:,33.715
Time Remaining:,0.0
Avg TTK:,3.529388
Damage Done:,1000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,20
Miss Count:,22
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,4
Distance Traveled:,0.0
MBS Points:,0.0
Score:,200.0
Scenario:,VT Bounceshot Barriers
Hash:,ba18111ef40657f5bbf313ce3eb77583
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:54:02.879
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,249.841599
Resolution Scale:,100.0
