Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:03:46.482,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,15:03:46.921,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,15:03:49.547,Mid,b180 pistol,1.712000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
4,15:03:50.714,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,15:03:52.225,Mid,b180 pistol,1.022000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
6,15:03:53.766,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,15:03:54.786,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,15:03:55.887,High,b180 pistol,0.449000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
9,15:03:56.304,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,15:03:56.913,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,15:03:57.450,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
12,15:03:58.107,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
13,15:03:59.313,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,15:04:00.164,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,15:04:00.850,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,15:04:01.508,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,15:04:03.261,Mid,b180 pistol,0.863000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
18,15:04:04.888,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,15:04:06.025,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
20,15:04:07.298,Mid,b180 pistol,0.317000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
21,15:04:08.754,High,b180 pistol,0.753000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
22,15:04:09.764,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
23,15:04:11.600,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,15:04:12.673,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
