Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:40:52.080,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
2,17:40:52.596,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
3,17:40:53.002,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
4,17:40:53.786,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
5,17:40:54.460,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
6,17:40:55.093,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
7,17:40:55.819,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
8,17:40:56.437,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
9,17:40:57.079,Mid,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
10,17:40:57.495,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
11,17:40:58.834,Mid,b180 pistol,0.707000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
12,17:40:59.950,High,b180 pistol,0.269000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
13,17:41:00.369,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
14,17:41:01.070,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
15,17:41:01.480,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
16,17:41:02.000,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
17,17:41:02.773,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
18,17:41:03.246,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
19,17:41:03.783,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
20,17:41:05.765,Mid,b180 pistol,0.989000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
21,17:41:07.055,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
22,17:41:07.651,High,b180 pistol,0.289000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
23,17:41:08.583,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
24,17:41:09.259,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
25,17:41:10.230,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
26,17:41:13.749,Mid,b180 pistol,2.687000s,4,1,0.250000,50.000000,500.000000,0.100000,0,0
27,17:41:14.329,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
28,17:41:16.242,Low,b180 pistol,1.400000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
29,17:41:16.821,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
30,17:41:17.468,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
31,17:41:20.171,Mid,b180 pistol,1.394000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
32,17:41:20.773,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
33,17:41:21.766,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
34,17:41:22.857,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
35,17:41:24.054,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
36,17:41:24.501,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
37,17:41:25.003,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
38,17:41:25.788,Mid,b180 pistol,0.323000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
39,17:41:26.433,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
40,17:41:27.709,Mid,b180 pistol,0.355000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
41,17:41:28.776,Mid,b180 pistol,0.684000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
42,17:41:29.358,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
43,17:41:30.636,Low,b180 pistol,0.605000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
44,17:41:31.099,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
45,17:41:31.791,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
46,17:41:32.244,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
47,17:41:33.634,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
48,17:41:34.671,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
49,17:41:35.742,High,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
50,17:41:36.711,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
51,17:41:37.108,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
52,17:41:37.917,High,b180 pistol,0.326000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
53,17:41:39.508,Mid,b180 pistol,1.208000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
54,17:41:40.179,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
55,17:41:41.136,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
56,17:41:41.618,Mid,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
57,17:41:42.042,Low,b180 pistol,0.000000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
58,17:41:42.835,Low,b180 pistol,0.325000s,2,1,0.500000,50.000000,250.000000,0.200000,0,0
59,17:41:46.437,Mid,b180 pistol,3.167000s,5,1,0.200000,50.000000,625.000000,0.080000,0,0
60,17:41:46.929,High,b180 pistol,0.001000s,1,1,1.000000,50.000000,125.000000,0.400000,0,0
61,17:41:49.052,High,b180 pistol,1.086000s,3,1,0.333333,50.000000,375.000000,0.133333,0,0
