Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:48:07.796,Fishrl,pistol,0.313000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
2,17:48:08.879,Fishrl,pistol,0.508000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
3,17:48:09.608,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
4,17:48:10.044,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
5,17:48:10.904,Fishrl,pistol,0.284000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
6,17:48:11.384,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
7,17:48:11.875,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
8,17:48:12.407,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
9,17:48:13.138,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
10,17:48:14.197,Fishrl,pistol,0.218000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
11,17:48:14.750,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
12,17:48:15.527,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
13,17:48:16.378,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
14,17:48:17.635,Fishrl,pistol,0.617000s,3,1,0.333333,1.000000,300.000000,0.003333,0,0
15,17:48:18.346,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
16,17:48:18.766,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
17,17:48:19.781,Fishrl,pistol,0.411000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
18,17:48:20.851,Fishrl,pistol,0.937000s,3,1,0.333333,1.000000,300.000000,0.003333,0,0
19,17:48:21.698,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
20,17:48:22.700,Fishrl,pistol,0.304000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
21,17:48:23.340,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
22,17:48:24.219,Fishrl,pistol,0.307000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
23,17:48:26.052,Fishrl,pistol,1.054000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
24,17:48:26.854,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
25,17:48:27.453,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
26,17:48:28.438,Fishrl,pistol,0.288000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
27,17:48:28.991,Fishrl,pistol,0.001000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
28,17:48:29.426,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
29,17:48:30.289,Fishrl,pistol,0.363000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
30,17:48:30.892,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
31,17:48:32.259,Fishrl,pistol,0.673000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
32,17:48:32.824,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
33,17:48:33.231,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
34,17:48:33.884,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
35,17:48:34.532,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
36,17:48:35.061,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
37,17:48:36.128,Fishrl,pistol,0.289000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
38,17:48:36.684,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
39,17:48:37.483,Fishrl,pistol,0.001000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
40,17:48:38.070,Fishrl,pistol,0.001000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
41,17:48:38.767,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
42,17:48:39.729,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
43,17:48:40.565,Fishrl,pistol,0.300000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
44,17:48:41.100,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
45,17:48:41.972,Fishrl,pistol,0.309000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
46,17:48:43.617,Fishrl,pistol,0.989000s,3,1,0.333333,1.000000,300.000000,0.003333,0,0
47,17:48:44.295,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
48,17:48:47.182,Fishrl,pistol,2.205000s,5,1,0.200000,1.000000,500.000000,0.002000,0,0
49,17:48:47.711,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
50,17:48:48.619,Fishrl,pistol,0.316000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
51,17:48:49.295,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
52,17:48:50.357,Fishrl,pistol,0.351000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
53,17:48:50.792,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
54,17:48:51.342,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
55,17:48:52.084,Fishrl,pistol,0.311000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
56,17:48:53.535,Fishrl,pistol,0.736000s,3,1,0.333333,1.000000,300.000000,0.003333,0,0
57,17:48:54.520,Fishrl,pistol,0.001000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
58,17:48:55.693,Fishrl,pistol,0.361000s,2,1,0.500000,1.000000,200.000000,0.005000,0,0
59,17:48:56.370,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
60,17:48:57.038,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
61,17:48:57.710,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
62,17:48:58.322,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
63,17:48:58.900,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
64,17:48:59.529,Fishrl,pistol,0.000000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
65,17:49:00.243,Fishrl,pistol,0.001000s,1,1,1.000000,1.000000,100.000000,0.010000,0,0
