Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:17:43.882,test_verysmall,Poke-Drill,0.872000s,92,6,0.065217,1.200000,18.399998,0.065217,0,25
2,21:17:44.305,test_verysmall,Poke-Drill,0.158000s,17,6,0.352941,1.200000,3.400001,0.352941,0,25
3,21:17:44.844,test_verysmall,Poke-Drill,0.282000s,29,6,0.206897,1.200000,5.799999,0.206897,0,25
4,21:17:45.611,test_verysmall,Poke-Drill,0.509000s,52,6,0.115385,1.200000,10.399995,0.115385,0,25
5,21:17:46.083,test_verysmall,Poke-Drill,0.210000s,22,6,0.272727,1.200000,4.400000,0.272727,0,25
6,21:17:46.813,test_verysmall,Poke-Drill,0.470000s,48,6,0.125000,1.200000,9.599996,0.125000,0,25
7,21:17:47.313,test_verysmall,Poke-Drill,0.240000s,25,6,0.240000,1.200000,5.000000,0.240000,0,25
8,21:17:47.889,test_verysmall,Poke-Drill,0.318000s,25,6,0.240000,1.200000,5.000000,0.240000,0,25
9,21:17:48.519,test_verysmall,Poke-Drill,0.372000s,38,6,0.157895,1.200000,7.599997,0.157895,0,25
10,21:17:49.008,test_verysmall,Poke-Drill,0.229000s,24,6,0.250000,1.200000,4.800000,0.250000,0,25
11,21:17:49.577,test_verysmall,Poke-Drill,0.309000s,32,6,0.187500,1.200000,6.399998,0.187500,0,25
12,21:17:49.894,test_verysmall,Poke-Drill,0.061000s,7,6,0.857143,1.200000,1.400000,0.857143,0,25
13,21:17:50.588,test_verysmall,Poke-Drill,0.431000s,44,6,0.136364,1.200000,8.799996,0.136364,0,25
14,21:17:51.218,test_verysmall,Poke-Drill,0.371000s,38,6,0.157895,1.200000,7.599997,0.157895,0,25
15,21:17:51.793,test_verysmall,Poke-Drill,0.319000s,33,6,0.181818,1.200000,6.599998,0.181818,0,25
16,21:17:52.407,test_verysmall,Poke-Drill,0.350000s,36,6,0.166667,1.200000,7.199997,0.166667,0,25
17,21:17:53.674,test_verysmall,Poke-Drill,1.011000s,102,9,0.088235,1.800000,20.400005,0.088235,0,24
18,21:17:54.364,test_verysmall,Poke-Drill,0.437000s,45,12,0.266667,2.400000,8.999996,0.266667,0,25
19,21:17:54.716,test_verysmall,Poke-Drill,0.087000s,10,6,0.600000,1.200000,2.000000,0.600000,0,25
20,21:17:55.267,test_verysmall,Poke-Drill,0.290000s,30,6,0.200000,1.200000,5.999999,0.200000,0,25
21,21:17:56.185,test_verysmall,Poke-Drill,0.661000s,67,6,0.089552,1.200000,13.399992,0.089552,0,25
22,21:17:56.657,test_verysmall,Poke-Drill,0.209000s,22,6,0.272727,1.200000,4.400000,0.272727,0,25
23,21:17:57.228,test_verysmall,Poke-Drill,0.313000s,32,6,0.187500,1.200000,6.399998,0.187500,0,25
24,21:17:57.965,test_verysmall,Poke-Drill,0.480000s,49,6,0.122449,1.200000,9.799995,0.122449,0,25
25,21:17:58.558,test_verysmall,Poke-Drill,0.332000s,34,6,0.176471,1.200000,6.799998,0.176471,0,25
26,21:17:59.415,test_verysmall,Poke-Drill,0.599000s,61,6,0.098361,1.200000,12.199993,0.098361,0,25
27,21:18:00.109,test_verysmall,Poke-Drill,0.428000s,44,6,0.136364,1.200000,8.799996,0.136364,0,25
28,21:18:01.035,test_verysmall,Poke-Drill,0.670000s,68,6,0.088235,1.200000,13.599992,0.088235,0,25
29,21:18:01.762,test_verysmall,Poke-Drill,0.510000s,52,6,0.115385,1.200000,10.399995,0.115385,0,20
30,21:18:02.298,test_verysmall,Poke-Drill,0.283000s,29,8,0.275862,1.600000,5.799999,0.275862,0,25
31,21:18:02.958,test_verysmall,Poke-Drill,0.400000s,41,6,0.146341,1.200000,8.199997,0.146342,0,25
32,21:18:03.570,test_verysmall,Poke-Drill,0.354000s,36,6,0.166667,1.200000,7.199997,0.166667,0,25
33,21:18:04.388,test_verysmall,Poke-Drill,0.558000s,57,6,0.105263,1.200000,11.399994,0.105263,0,25
34,21:18:05.133,test_verysmall,Poke-Drill,0.490000s,50,6,0.120000,1.200000,9.999995,0.120000,0,25
35,21:18:05.659,test_verysmall,Poke-Drill,0.260000s,27,6,0.222222,1.200000,5.399999,0.222222,0,25
36,21:18:06.288,test_verysmall,Poke-Drill,0.369000s,38,6,0.157895,1.200000,7.599997,0.157895,0,25
37,21:18:07.205,test_verysmall,Poke-Drill,0.660000s,67,6,0.089552,1.200000,13.399992,0.089552,0,25
38,21:18:07.523,test_verysmall,Poke-Drill,0.056000s,7,6,0.857143,1.200000,1.400000,0.857143,0,25
39,21:18:08.238,test_verysmall,Poke-Drill,0.450000s,46,6,0.130435,1.200000,9.199996,0.130435,0,25
40,21:18:08.869,test_verysmall,Poke-Drill,0.372000s,38,8,0.210526,1.600000,7.599997,0.210526,0,25
41,21:18:09.428,test_verysmall,Poke-Drill,0.300000s,31,6,0.193548,1.200000,6.199998,0.193548,0,25
42,21:18:09.934,test_verysmall,Poke-Drill,0.248000s,26,9,0.346154,1.800000,5.199999,0.346154,0,25
43,21:18:10.606,test_verysmall,Poke-Drill,0.409000s,42,6,0.142857,1.200000,8.399997,0.142857,0,25
44,21:18:11.504,test_verysmall,Poke-Drill,0.637000s,65,8,0.123077,1.600000,12.999992,0.123077,0,25
45,21:18:12.164,test_verysmall,Poke-Drill,0.460000s,47,12,0.255319,2.400000,9.399996,0.255319,0,18
46,21:18:12.468,test_verysmall,Poke-Drill,0.052000s,6,6,1.000000,1.200000,1.200000,1.000000,0,25
47,21:18:13.094,test_verysmall,Poke-Drill,0.470000s,48,8,0.166667,1.600000,9.599996,0.166667,0,14
48,21:18:13.690,test_verysmall,Poke-Drill,0.341000s,35,9,0.257143,1.800000,6.999998,0.257143,0,25
49,21:18:14.370,test_verysmall,Poke-Drill,0.421000s,43,6,0.139535,1.200000,8.599997,0.139535,0,25
50,21:18:15.312,test_verysmall,Poke-Drill,0.709000s,72,6,0.083333,1.200000,14.399991,0.083333,0,22
51,21:18:15.619,test_verysmall,Poke-Drill,0.051000s,6,6,1.000000,1.200000,1.200000,1.000000,0,25
52,21:18:16.286,test_verysmall,Poke-Drill,0.409000s,42,6,0.142857,1.200000,8.399997,0.142857,0,25
53,21:18:16.910,test_verysmall,Poke-Drill,0.358000s,37,6,0.162162,1.200000,7.399997,0.162162,0,25
54,21:18:17.384,test_verysmall,Poke-Drill,0.218000s,23,6,0.260870,1.200000,4.600000,0.260870,0,25
55,21:18:17.995,test_verysmall,Poke-Drill,0.351000s,36,6,0.166667,1.200000,7.199997,0.166667,0,25
56,21:18:18.506,test_verysmall,Poke-Drill,0.248000s,26,6,0.230769,1.200000,5.199999,0.230769,0,25
57,21:18:19.067,test_verysmall,Poke-Drill,0.297000s,31,6,0.193548,1.200000,6.199998,0.193548,0,25
58,21:18:19.719,test_verysmall,Poke-Drill,0.390000s,40,6,0.150000,1.200000,7.999997,0.150000,0,25
59,21:18:20.315,test_verysmall,Poke-Drill,0.340000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
60,21:18:20.866,test_verysmall,Poke-Drill,0.286000s,30,6,0.200000,1.200000,5.999999,0.200000,0,25
61,21:18:21.443,test_verysmall,Poke-Drill,0.319000s,33,6,0.181818,1.200000,6.599998,0.181818,0,25
62,21:18:21.886,test_verysmall,Poke-Drill,0.181000s,19,6,0.315789,1.200000,3.800001,0.315789,0,25
63,21:18:22.557,test_verysmall,Poke-Drill,0.407000s,42,6,0.142857,1.200000,8.399997,0.142857,0,25
64,21:18:23.197,test_verysmall,Poke-Drill,0.383000s,39,6,0.153846,1.200000,7.799997,0.153846,0,25
65,21:18:23.777,test_verysmall,Poke-Drill,0.321000s,33,6,0.181818,1.200000,6.599998,0.181818,0,25
66,21:18:24.379,test_verysmall,Poke-Drill,0.343000s,35,6,0.171429,1.200000,6.999998,0.171429,0,25
67,21:18:25.028,test_verysmall,Poke-Drill,0.390000s,40,6,0.150000,1.200000,7.999997,0.150000,0,25
