Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:19:58.827,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,21:19:59.304,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,21:19:59.896,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,21:20:01.036,test_verysmall,pistol,0.502000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
5,21:20:01.594,test_verysmall,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,21:20:02.353,test_verysmall,pistol,0.254000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
7,21:20:02.868,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,21:20:03.318,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,21:20:03.870,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,21:20:04.530,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,21:20:04.987,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,21:20:05.537,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,21:20:06.114,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,21:20:06.563,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,21:20:06.922,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,21:20:07.674,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,21:20:08.207,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,21:20:08.641,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,21:20:09.370,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,21:20:09.997,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
21,21:20:10.536,test_verysmall,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
