Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:39:11.121,test,pistol,0.468000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
2,14:39:11.764,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,14:39:12.567,test,pistol,0.443000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
4,14:39:13.178,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,14:39:13.610,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
6,14:39:14.636,test,pistol,0.366000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
7,14:39:15.109,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,14:39:15.539,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
9,14:39:16.109,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,14:39:16.923,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
11,14:39:17.394,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
12,14:39:17.996,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
13,14:39:18.902,test,pistol,0.349000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
14,14:39:19.439,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
15,14:39:20.903,test,pistol,1.036000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
16,14:39:21.445,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,14:39:22.897,test,pistol,0.971000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
18,14:39:23.580,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
19,14:39:24.401,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,14:39:25.653,test,pistol,0.649000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
21,14:39:26.701,test,pistol,0.473000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
22,14:39:27.290,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,14:39:27.746,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,14:39:28.415,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,14:39:28.958,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
26,14:39:30.555,test,pistol,0.912000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
27,14:39:31.049,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
28,14:39:32.023,test,pistol,0.413000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
29,14:39:32.688,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
30,14:39:33.347,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
31,14:39:34.872,test,pistol,0.993000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
32,14:39:36.115,test,pistol,0.486000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
33,14:39:37.101,test,pistol,0.521000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
34,14:39:37.774,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
35,14:39:38.549,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
36,14:39:39.332,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
37,14:39:40.071,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
38,14:39:43.152,test,pistol,1.764000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
39,14:39:43.686,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
40,14:39:44.221,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
41,14:39:47.072,test,pistol,2.213000s,4,1,0.250000,1000.000000,8000.000000,0.125000,0,0
42,14:39:47.615,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
43,14:39:48.323,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
44,14:39:48.725,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
45,14:39:49.308,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
46,14:39:50.125,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
47,14:39:52.233,test,pistol,1.449000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
48,14:39:52.704,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
49,14:39:53.508,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
50,14:39:54.056,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
51,14:39:55.321,test,pistol,0.588000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
52,14:39:55.796,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
53,14:39:56.364,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
54,14:39:57.726,test,pistol,0.768000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
55,14:39:58.588,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
56,14:39:59.267,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
57,14:39:59.610,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
58,14:40:00.228,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
59,14:40:00.853,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
60,14:40:02.510,test,pistol,0.891000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
61,14:40:03.930,test,pistol,0.885000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
62,14:40:05.137,test,pistol,0.526000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
63,14:40:05.996,test,pistol,0.313000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
64,14:40:07.766,test,pistol,1.094000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
65,14:40:09.524,test,pistol,1.288000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,98,65,65000.0,196000.0,

Kills:,65
Deaths:,0
Fight Time:,19.860001
Time Remaining:,0.0
Avg TTK:,0.971657
Damage Done:,65000.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,65
Miss Count:,33
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,1
Distance Traveled:,0.0
MBS Points:,0.0
Score:,650.0
Scenario:,VT Pasu Rasp Intermediate
Hash:,0e4785198aac3526bea5c63cb88c41bf
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,14:39:10.036
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,226.33371
Resolution Scale:,100.0
