Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,14:16:20.043,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
2,14:16:20.495,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
3,14:16:20.826,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
4,14:16:21.169,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
5,14:16:21.543,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
6,14:16:22.215,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
7,14:16:22.678,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
8,14:16:23.068,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
9,14:16:23.450,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
10,14:16:23.765,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
11,14:16:24.409,test,pistol,0.327000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
12,14:16:25.122,test,pistol,0.305000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
13,14:16:25.488,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
14,14:16:26.141,test,pistol,0.297000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
15,14:16:26.451,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
16,14:16:26.749,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
17,14:16:27.751,test,pistol,0.668000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
18,14:16:30.045,test,pistol,1.858000s,3,1,0.333333,1000.000000,6000.000000,0.166667,0,0
19,14:16:30.410,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
20,14:16:30.802,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
21,14:16:31.129,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
22,14:16:31.474,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
23,14:16:31.855,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
24,14:16:32.259,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
25,14:16:32.648,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
26,14:16:33.377,test,pistol,0.356000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
27,14:16:33.870,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
28,14:16:34.571,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
29,14:16:35.249,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
30,14:16:35.840,test,pistol,0.285000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
31,14:16:36.523,test,pistol,0.329000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
32,14:16:36.899,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
33,14:16:37.404,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
34,14:16:37.786,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
35,14:16:38.557,test,pistol,0.354000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
36,14:16:38.916,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
37,14:16:39.784,test,pistol,0.359000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
38,14:16:40.454,test,pistol,0.369000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
39,14:16:40.799,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
40,14:16:41.065,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
41,14:16:41.346,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
42,14:16:41.876,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
43,14:16:42.733,test,pistol,0.373000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
44,14:16:43.025,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
45,14:16:43.373,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
46,14:16:43.758,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
47,14:16:44.559,test,pistol,0.477000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
48,14:16:44.924,test,pistol,0.001000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
49,14:16:45.628,test,pistol,0.329000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
50,14:16:47.094,test,pistol,1.032000s,2,1,0.500000,1000.000000,4000.000000,0.250000,0,0
51,14:16:47.491,test,pistol,0.000000s,1,1,1.000000,1000.000000,2000.000000,0.500000,0,0
