Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:19:00.227,Quaker SMS 02507,LG,5.473000s,115,50,0.434783,300.000000,690.000000,0.434783,0,5
2,12:19:09.376,Quaker MS SS 0205,LG,8.865001s,186,50,0.268817,300.000000,1116.000000,0.268817,0,5
3,12:19:19.344,Quaker MS SS 0205,LG,9.679001s,203,50,0.246305,300.000000,1218.000000,0.246305,0,5
4,12:19:27.926,Quaker SS 0205,LG,8.292001s,172,50,0.290698,300.000000,1032.000000,0.290698,0,5
5,12:19:35.212,Quaker LS SS 0205,LG,7.001000s,147,50,0.340136,300.000000,882.000000,0.340136,0,5
6,12:19:42.062,Quaker SMS VSS,LG,6.564000s,138,50,0.362319,300.000000,828.000000,0.362319,0,5
7,12:19:51.073,Quaker MS 0407,LG,8.724000s,183,50,0.273224,300.000000,1098.000000,0.273224,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1213,367,2202.0,7278.0,

Kills:,7
Deaths:,0
Fight Time:,54.598
Time Remaining:,0.0
Avg TTK:,8.928611
Damage Done:,2202.0
Total Overshots:,35
Damage Taken:,0.0
Hit Count:,367
Miss Count:,846
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,31865.742188
MBS Points:,0.0
Score:,2321.200195
Scenario:,VT PatStrafe Platinum
Hash:,fc6da1381e15602a5847f671fb93109d
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:18:54.482
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,247.334595
Resolution Scale:,100.0
