Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:21:19.335,Quaker SS 0306 VSS,LG,6.981000s,147,50,0.340136,300.000000,882.000000,0.340136,0,5
2,12:21:28.259,Quaker SS 0306,LG,8.638000s,181,50,0.276243,300.000000,1086.000000,0.276243,0,5
3,12:21:36.198,Quaker MS 0407,LG,7.638000s,157,50,0.318471,300.000000,942.000000,0.318471,0,5
4,12:21:42.189,Quaker LS SS 0205,LG,5.700000s,120,50,0.416667,300.000000,720.000000,0.416667,0,5
5,12:21:50.336,Quaker SMS VSS,LG,7.857000s,165,50,0.303030,300.000000,990.000000,0.303030,0,5
6,12:21:56.564,Quaker MS SS 0205,LG,5.944000s,125,50,0.400000,300.000000,750.000000,0.400000,0,5
7,12:22:04.452,Quaker MS SS 0205,LG,7.600000s,159,50,0.314465,300.000000,954.000000,0.314465,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1213,393,2358.0,7278.0,

Kills:,7
Deaths:,0
Fight Time:,50.358002
Time Remaining:,0.0
Avg TTK:,8.928611
Damage Done:,2358.0
Total Overshots:,35
Damage Taken:,0.0
Hit Count:,393
Miss Count:,820
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,31140.205078
MBS Points:,0.0
Score:,2414.800049
Scenario:,VT PatStrafe Platinum
Hash:,fc6da1381e15602a5847f671fb93109d
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:21:12.083
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,246.559021
Resolution Scale:,100.0
