Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,12:22:27.604,Quaker SS 0306,LG,7.217000s,152,50,0.328947,300.000000,912.000000,0.328947,0,5
2,12:22:35.430,Quaker MS SS 0205,LG,7.542000s,158,50,0.316456,300.000000,948.000000,0.316456,0,5
3,12:22:41.654,Quaker LS C,LG,5.935000s,124,50,0.403226,300.000000,744.000000,0.403226,0,5
4,12:22:49.226,Quaker MS SS 0205,LG,7.285000s,153,50,0.326797,300.000000,918.000000,0.326797,0,5
5,12:22:56.222,Quaker SS 0306 VSS,LG,6.707000s,141,50,0.354610,300.000000,846.000000,0.354610,0,5
6,12:23:03.792,Quaker SS 0306 VSS,LG,7.284000s,153,50,0.326797,300.000000,918.000000,0.326797,0,5
7,12:23:11.269,Quaker SS 0205,LG,7.188000s,151,50,0.331126,300.000000,906.000000,0.331126,0,5
8,12:23:19.604,Quaker MS 0407,LG,8.049001s,169,50,0.295858,300.000000,1014.000000,0.295858,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1211,400,2400.0,7266.0,

Kills:,8
Deaths:,0
Fight Time:,57.207001
Time Remaining:,0.0
Avg TTK:,7.812534
Damage Done:,2400.0
Total Overshots:,40
Damage Taken:,0.0
Hit Count:,400
Miss Count:,811
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,33456.703125
MBS Points:,0.0
Score:,2440.0
Scenario:,VT PatStrafe Platinum
Hash:,fc6da1381e15602a5847f671fb93109d
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,12:22:20.117
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,249.455002
Resolution Scale:,100.0
