Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
0,17:51:50.540,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
1,17:51:51.326,freerobux,LG,0.000000s,1,1,1.000000,4400.000000,10000.000000,0.440000,0,0
1,17:51:51.930,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
2,17:51:52.887,freerobux,LG,0.000000s,1,1,1.000000,2800.000000,10000.000000,0.280000,0,0
2,17:51:53.676,damnson,LG,0.219000s,2,0,0.000000,0.000000,20000.000000,0.000000,0,0
3,17:51:54.360,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
3,17:51:54.921,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
4,17:51:55.884,freerobux,LG,0.325000s,2,1,0.500000,2800.000000,20000.000000,0.140000,0,0
4,17:51:56.426,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
5,17:51:57.067,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
5,17:51:57.724,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
6,17:51:58.449,freerobux,LG,0.000000s,1,1,1.000000,4400.000000,10000.000000,0.440000,0,0
6,17:51:59.059,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
7,17:51:59.735,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
7,17:52:00.267,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
8,17:52:00.827,freerobux,LG,0.000000s,1,1,1.000000,6000.000000,10000.000000,0.600000,0,0
8,17:52:01.341,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
9,17:52:02.391,freerobux,LG,0.399000s,2,1,0.500000,2000.000000,20000.000000,0.100000,0,0
9,17:52:02.891,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
10,17:52:03.463,freerobux,LG,0.000000s,1,1,1.000000,6000.000000,10000.000000,0.600000,0,0
10,17:52:03.990,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
11,17:52:05.068,freerobux,LG,0.366000s,2,1,0.500000,2000.000000,20000.000000,0.100000,0,0
11,17:52:05.614,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
12,17:52:06.190,freerobux,LG,0.000000s,1,1,1.000000,6000.000000,10000.000000,0.600000,0,0
12,17:52:07.050,damnson,LG,0.355000s,2,0,0.000000,0.000000,20000.000000,0.000000,0,0
13,17:52:08.025,freerobux,LG,0.235000s,2,1,0.500000,2800.000000,20000.000000,0.140000,0,0
13,17:52:08.539,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
14,17:52:09.240,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
14,17:52:09.692,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
15,17:52:10.296,freerobux,LG,0.000000s,1,1,1.000000,6000.000000,10000.000000,0.600000,0,0
15,17:52:10.809,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
16,17:52:11.395,freerobux,LG,0.000000s,1,1,1.000000,6000.000000,10000.000000,0.600000,0,0
16,17:52:11.920,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
17,17:52:12.592,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
17,17:52:13.037,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
17,17:52:15.604,damnson,LG,1.991000s,4,0,0.000000,0.000000,40000.000000,0.000000,0,0
18,17:52:16.300,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
18,17:52:16.757,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
19,17:52:17.432,freerobux,LG,0.000000s,1,1,1.000000,5200.000000,10000.000000,0.520000,0,0
19,17:52:17.938,damnson,LG,0.000000s,1,0,0.000000,0.000000,10000.000000,0.000000,0,0
20,17:52:19.012,freerobux,LG,0.366000s,2,1,0.500000,2000.000000,20000.000000,0.100000,0,0
