Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:33:50.914,air1_mixed_short_dash,LG,11.990001s,1201,440,0.366361,4.400006,12.010180,0.366356,0,25
2,02:34:05.016,air_close_short,LG,13.843000s,1385,488,0.352347,4.880017,13.850222,0.352342,0,25
3,02:34:19.120,air1_far_short,LG,13.847001s,1385,440,0.317690,4.400006,13.850222,0.317685,0,26
4,02:34:33.223,air1F_close_short,LG,13.838000s,1385,407,0.293863,4.069998,13.850222,0.293858,0,25
5,02:34:47.072,air1F_far_short,LG,13.841001s,1385,425,0.306859,4.250002,13.850222,0.306854,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6741,2200,22.000408,67.405991,

Kills:,5
Deaths:,0
Fight Time:,67.359001
Time Remaining:,0.0
Avg TTK:,13.679906
Damage Done:,22.000408
Total Overshots:,101
Damage Taken:,0.0
Hit Count:,2200
Miss Count:,4541
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2200.040771
Scenario:,VT Plaza Intermediate
Hash:,6f7f7473046a0fe6dfc8c1ce151e2a71
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,02:33:38.665
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,234.237717
Resolution Scale:,100.0
