Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:26:46.762,air1_mixed_short_dash,LG,11.989000s,1081,515,0.476411,5.150023,10.810152,0.476406,0,25
2,15:27:01.099,air_close_short,LG,14.048000s,1265,605,0.478261,6.050044,12.650194,0.478257,0,25
3,15:27:15.431,air1_far_short,LG,14.050000s,1265,677,0.535178,6.770060,12.650194,0.535174,0,25
4,15:27:29.767,air1F_close_short,LG,14.051001s,1265,497,0.392885,4.970019,12.650194,0.392881,0,25
5,15:27:43.825,air1F_far_short,LG,14.053000s,1265,525,0.415020,5.250025,12.650194,0.415015,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,6141,2819,28.19055,61.405701,

Kills:,5
Deaths:,0
Fight Time:,68.191002
Time Remaining:,0.0
Avg TTK:,15.407396
Damage Done:,28.19055
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,2819
Miss Count:,3322
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2819.054932
Scenario:,VT Plaza Novice
Hash:,7faa0eaac5d5654c3105b0ff5b6c083c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:26:34.487
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,283.291748
Resolution Scale:,100.0
