Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:55:48.782,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
2,17:55:49.596,Balloon,BB Gun,0.001000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
3,17:55:50.272,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
4,17:55:50.696,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
5,17:55:51.006,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
6,17:55:51.320,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
7,17:55:51.664,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
8,17:55:52.173,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
9,17:55:52.761,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
10,17:55:53.370,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
11,17:55:53.774,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
12,17:55:54.077,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
13,17:55:54.564,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
14,17:55:55.032,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
15,17:55:55.444,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
16,17:55:55.995,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
17,17:55:56.558,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
18,17:55:57.177,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
19,17:55:57.648,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
20,17:55:58.072,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
21,17:55:58.498,Balloon,BB Gun,0.001000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
22,17:55:58.943,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
23,17:55:59.489,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
24,17:55:59.975,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
25,17:56:00.447,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
26,17:56:00.854,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
27,17:56:01.768,Balloon,BB Gun,0.390000s,2,1,0.500000,100000.000000,200000.000000,0.500000,0,0
28,17:56:02.052,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
29,17:56:02.364,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
30,17:56:02.852,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
31,17:56:03.339,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
32,17:56:03.717,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
33,17:56:04.123,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
34,17:56:04.611,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
35,17:56:05.078,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
36,17:56:05.627,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
37,17:56:06.134,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
38,17:56:06.774,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
39,17:56:07.143,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
40,17:56:07.546,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
41,17:56:07.880,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
42,17:56:08.138,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
43,17:56:08.812,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
44,17:56:09.425,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
45,17:56:09.989,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
46,17:56:10.486,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
47,17:56:10.949,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
48,17:56:11.354,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
49,17:56:11.744,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
50,17:56:11.997,Balloon,BB Gun,0.000000s,1,1,1.000000,100000.000000,100000.000000,1.000000,0,0
