Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,21:07:32.536,Mid,B180T LG,2.146000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
2,21:07:34.127,Mid,B180T LG,1.281000s,24,5,0.208333,5.000000,24.000000,0.208333,0,4
3,21:07:35.548,High,B180T LG,1.115000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
4,21:07:36.771,Low,B180T LG,0.895000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
5,21:07:37.939,Mid,B180T LG,0.835000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
6,21:07:39.283,Mid,B180T LG,1.003000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
7,21:07:40.790,High,B180T LG,1.175000s,22,5,0.227273,5.000000,22.000000,0.227273,0,5
8,21:07:42.015,High,B180T LG,0.892000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
9,21:07:43.187,Mid,B180T LG,0.834000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
10,21:07:44.350,Low,B180T LG,0.833000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
11,21:07:45.748,Low,B180T LG,1.058000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
12,21:07:46.916,Low,B180T LG,0.835000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
13,21:07:47.979,Mid,B180T LG,0.726000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
14,21:07:49.264,Mid,B180T LG,0.952000s,18,5,0.277778,5.000000,18.000000,0.277778,0,5
15,21:07:49.932,Low,B180T LG,0.335000s,7,5,0.714286,5.000000,7.000000,0.714286,0,5
16,21:07:50.822,High,B180T LG,0.554000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
17,21:07:52.275,Mid,B180T LG,1.116000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
18,21:07:53.668,Mid,B180T LG,1.062000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
19,21:07:54.892,High,B180T LG,0.889000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
20,21:07:56.454,Mid,B180T LG,1.227000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
21,21:07:57.682,High,B180T LG,0.894000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
22,21:07:58.631,Mid,B180T LG,0.616000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
23,21:07:59.632,Low,B180T LG,0.668000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
24,21:08:00.692,Mid,B180T LG,0.728000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
25,21:08:01.805,Mid,B180T LG,0.780000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
26,21:08:03.705,Mid,B180T LG,1.564000s,29,5,0.172414,5.000000,29.000000,0.172414,0,5
27,21:08:07.159,Low,B180T LG,3.124000s,57,5,0.087719,5.000000,57.000000,0.087719,0,5
28,21:08:08.107,Low,B180T LG,0.612000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
29,21:08:09.726,Mid,B180T LG,1.281000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
30,21:08:11.177,High,B180T LG,1.115000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
31,21:08:12.007,Mid,B180T LG,0.501000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
32,21:08:13.685,High,B180T LG,1.338000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
33,21:08:14.857,High,B180T LG,0.836000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
34,21:08:16.027,Mid,B180T LG,0.838000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
35,21:08:16.861,Low,B180T LG,0.499000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
36,21:08:17.698,Mid,B180T LG,0.505000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
37,21:08:18.867,Mid,B180T LG,0.835000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
38,21:08:20.763,Mid,B180T LG,1.564000s,29,5,0.172414,5.000000,29.000000,0.172414,0,5
39,21:08:22.381,High,B180T LG,1.284000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
40,21:08:24.390,Mid,B180T LG,1.676000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
41,21:08:25.728,Low,B180T LG,1.005000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
42,21:08:27.068,Low,B180T LG,1.006000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
43,21:08:28.124,Mid,B180T LG,0.724000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
44,21:08:29.073,Low,B180T LG,0.611000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,858,222,222.0,858.0,

Kills:,44
Deaths:,0
Fight Time:,44.367001
Time Remaining:,0.0
Avg TTK:,1.652891
Damage Done:,222.0
Total Overshots:,219
Damage Taken:,0.0
Hit Count:,222
Miss Count:,636
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,444.0
Scenario:,VT bounceTS Intermediate
Hash:,d2407fa3f4c2567ce8736fbac4ecee6c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,21:07:30.071
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,249.525894
Resolution Scale:,100.0
