Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:22:19.493,Low,B180T LG,0.922000s,18,5,0.277778,5.000000,18.000000,0.277778,0,5
2,17:22:20.828,Mid,B180T LG,1.000000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
3,17:22:22.446,Mid,B180T LG,1.285000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
4,17:22:24.231,Low,B180T LG,1.449000s,27,5,0.185185,5.000000,27.000000,0.185185,0,5
5,17:22:26.407,Mid,B180T LG,1.840000s,34,5,0.147059,5.000000,34.000000,0.147059,0,5
6,17:22:27.350,High,B180T LG,0.611000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
7,17:22:30.419,High,B180T LG,2.731000s,50,5,0.100000,5.000000,50.000000,0.100000,0,5
8,17:22:33.431,High,B180T LG,2.678000s,49,5,0.102041,5.000000,49.000000,0.102041,0,5
9,17:22:36.831,Mid,B180T LG,3.063000s,56,5,0.089286,5.000000,56.000000,0.089286,0,5
10,17:22:38.505,Mid,B180T LG,1.337000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
11,17:22:41.571,Mid,B180T LG,2.732000s,50,5,0.100000,5.000000,50.000000,0.100000,0,5
12,17:22:42.799,Low,B180T LG,0.896000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
13,17:22:45.196,Low,B180T LG,2.062000s,38,5,0.131579,5.000000,38.000000,0.131579,0,5
14,17:22:46.647,Low,B180T LG,1.117000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
15,17:22:49.268,Mid,B180T LG,2.286000s,42,5,0.119048,5.000000,42.000000,0.119048,0,5
16,17:22:51.549,Mid,B180T LG,1.953000s,36,5,0.138889,5.000000,36.000000,0.138889,0,5
17,17:22:53.113,Mid,B180T LG,1.224000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
18,17:22:54.004,High,B180T LG,0.558000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
19,17:22:55.956,High,B180T LG,1.616000s,30,5,0.166667,5.000000,30.000000,0.166667,0,5
20,17:22:58.017,Mid,B180T LG,1.727000s,32,5,0.156250,5.000000,32.000000,0.156250,0,5
21,17:22:59.636,Mid,B180T LG,1.283000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
22,17:23:01.645,Low,B180T LG,1.675000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
23,17:23:02.371,Mid,B180T LG,0.389000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
24,17:23:03.482,High,B180T LG,0.782000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
25,17:23:05.489,High,B180T LG,1.674000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
26,17:23:07.496,Low,B180T LG,1.672000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
27,17:23:08.557,Mid,B180T LG,0.727000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
28,17:23:11.846,Mid,B180T LG,2.955000s,54,7,0.129630,7.000000,54.000000,0.129630,0,5
29,17:23:13.244,Mid,B180T LG,1.061000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
30,17:23:14.359,Low,B180T LG,0.782000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
31,17:23:15.751,Low,B180T LG,1.059000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
32,17:23:17.367,Mid,B180T LG,1.281000s,24,3,0.125000,3.000000,24.000000,0.125000,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,917,162,162.0,917.0,

Kills:,32
Deaths:,0
Fight Time:,48.426998
Time Remaining:,0.0
Avg TTK:,2.272725
Damage Done:,162.0
Total Overshots:,160
Damage Taken:,0.0
Hit Count:,162
Miss Count:,755
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,324.0
Scenario:,VT bounceTS Intermediate 25% smaller
Hash:,ae80f31bf454f10b292bedca67f74ef9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:22:18.253
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,289.387177
Resolution Scale:,100.0
