Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:23:27.240,Mid,B180T LG,2.534000s,47,7,0.148936,7.000000,47.000000,0.148936,0,5
2,17:23:28.189,Low,B180T LG,0.615000s,12,3,0.250000,3.000000,12.000000,0.250000,0,5
3,17:23:29.751,High,B180T LG,1.228000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
4,17:23:33.539,Mid,B180T LG,3.454000s,63,5,0.079365,5.000000,63.000000,0.079365,0,5
5,17:23:35.325,High,B180T LG,1.453000s,27,5,0.185185,5.000000,27.000000,0.185185,0,5
6,17:23:36.276,Mid,B180T LG,0.614000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
7,17:23:38.282,Low,B180T LG,1.676000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
8,17:23:40.343,Mid,B180T LG,1.729000s,32,6,0.187500,6.000000,32.000000,0.187500,0,5
9,17:23:41.795,Mid,B180T LG,1.115000s,21,4,0.190476,4.000000,21.000000,0.190476,0,5
10,17:23:43.072,Low,B180T LG,0.944000s,18,5,0.277778,5.000000,18.000000,0.277778,0,5
11,17:23:45.917,High,B180T LG,2.508000s,46,5,0.108696,5.000000,46.000000,0.108696,0,5
12,17:23:48.928,Mid,B180T LG,2.677000s,49,5,0.102041,5.000000,49.000000,0.102041,0,5
13,17:23:51.441,Mid,B180T LG,2.172000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
14,17:23:52.612,Mid,B180T LG,0.836000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
15,17:23:54.228,High,B180T LG,1.279000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
16,17:23:55.562,Mid,B180T LG,1.000000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
17,17:23:59.022,Low,B180T LG,3.120000s,57,5,0.087719,5.000000,57.000000,0.087719,0,5
18,17:24:01.754,Low,B180T LG,2.399000s,44,5,0.113636,5.000000,44.000000,0.113636,0,5
19,17:24:04.487,Mid,B180T LG,2.398000s,44,5,0.113636,5.000000,44.000000,0.113636,0,5
20,17:24:06.048,High,B180T LG,1.226000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
21,17:24:08.669,Mid,B180T LG,2.287000s,42,5,0.119048,5.000000,42.000000,0.119048,0,5
22,17:24:10.119,Mid,B180T LG,1.116000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
23,17:24:11.734,High,B180T LG,1.281000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
24,17:24:12.849,Mid,B180T LG,0.781000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
25,17:24:16.028,Low,B180T LG,2.843000s,52,5,0.096154,5.000000,52.000000,0.096154,0,5
26,17:24:17.700,High,B180T LG,1.337000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
27,17:24:20.320,Low,B180T LG,2.285000s,42,5,0.119048,5.000000,42.000000,0.119048,0,5
28,17:24:22.497,Low,B180T LG,1.839000s,34,5,0.147059,5.000000,34.000000,0.147059,0,5
29,17:24:24.167,Mid,B180T LG,1.339000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,932,145,145.0,932.0,

Kills:,29
Deaths:,0
Fight Time:,50.084999
Time Remaining:,0.0
Avg TTK:,2.507835
Damage Done:,145.0
Total Overshots:,145
Damage Taken:,0.0
Hit Count:,145
Miss Count:,787
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,290.0
Scenario:,VT bounceTS Intermediate 25% smaller
Hash:,ae80f31bf454f10b292bedca67f74ef9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:23:24.387
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,287.781006
Resolution Scale:,100.0
