Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:24:32.999,Low,B180T LG,1.142000s,22,5,0.227273,5.000000,22.000000,0.227273,0,5
2,17:24:34.227,Mid,B180T LG,0.893000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
3,17:24:35.621,High,B180T LG,1.058000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
4,17:24:36.960,Mid,B180T LG,1.002000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
5,17:24:38.353,Mid,B180T LG,1.063000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
6,17:24:41.753,Low,B180T LG,3.066000s,56,6,0.107143,6.000000,56.000000,0.107143,0,5
7,17:24:42.312,Mid,B180T LG,0.222000s,5,5,1.000000,5.000000,5.000000,1.000000,0,5
8,17:24:47.103,High,B180T LG,4.461000s,81,8,0.098765,8.000000,81.000000,0.098765,0,5
9,17:24:49.619,Low,B180T LG,2.176000s,40,4,0.100000,4.000000,40.000000,0.100000,0,5
10,17:24:51.175,Mid,B180T LG,1.226000s,23,2,0.086957,2.000000,23.000000,0.086957,0,5
11,17:24:54.740,Mid,B180T LG,3.232000s,59,5,0.084746,5.000000,59.000000,0.084746,0,5
12,17:24:57.755,Mid,B180T LG,2.678000s,49,5,0.102041,5.000000,49.000000,0.102041,0,5
13,17:24:59.152,High,B180T LG,1.062000s,20,5,0.250000,5.000000,20.000000,0.250000,0,5
14,17:25:00.714,Low,B180T LG,1.232000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
15,17:25:02.664,High,B180T LG,1.616000s,30,5,0.166667,5.000000,30.000000,0.166667,0,5
16,17:25:04.674,Mid,B180T LG,1.671000s,31,6,0.193548,6.000000,31.000000,0.193548,0,5
17,17:25:06.123,Mid,B180T LG,1.113000s,21,4,0.190476,4.000000,21.000000,0.190476,0,5
18,17:25:07.461,Mid,B180T LG,1.004000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
19,17:25:10.469,Low,B180T LG,2.677000s,49,5,0.102041,5.000000,49.000000,0.102041,0,5
20,17:25:12.979,Mid,B180T LG,2.173000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
21,17:25:15.381,Low,B180T LG,2.066000s,38,5,0.131579,5.000000,38.000000,0.131579,0,5
22,17:25:17.832,High,B180T LG,2.119000s,39,5,0.128205,5.000000,39.000000,0.128205,0,5
23,17:25:19.392,High,B180T LG,1.229000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
24,17:25:20.509,Mid,B180T LG,0.782000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
25,17:25:22.512,Low,B180T LG,1.670000s,31,5,0.161290,5.000000,31.000000,0.161290,0,5
26,17:25:25.028,Mid,B180T LG,2.179000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
27,17:25:27.589,Mid,B180T LG,2.232000s,41,5,0.121951,5.000000,41.000000,0.121951,0,5
28,17:25:30.768,High,B180T LG,2.847000s,52,5,0.096154,5.000000,52.000000,0.096154,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,937,140,140.0,937.0,

Kills:,28
Deaths:,0
Fight Time:,49.890999
Time Remaining:,0.0
Avg TTK:,2.5974
Damage Done:,140.0
Total Overshots:,140
Damage Taken:,0.0
Hit Count:,140
Miss Count:,797
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,280.0
Scenario:,VT bounceTS Intermediate 25% smaller
Hash:,ae80f31bf454f10b292bedca67f74ef9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:24:31.540
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,288.988464
Resolution Scale:,100.0
