Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:25:39.735,Low,B180T LG,1.088000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
2,17:25:41.071,Mid,B180T LG,1.005000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
3,17:25:42.913,High,B180T LG,1.509000s,28,5,0.178571,5.000000,28.000000,0.178571,0,5
4,17:25:44.361,Mid,B180T LG,1.113000s,21,5,0.238095,5.000000,21.000000,0.238095,0,5
5,17:25:45.591,Low,B180T LG,0.890000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
6,17:25:48.213,High,B180T LG,2.284000s,42,5,0.119048,5.000000,42.000000,0.119048,0,5
7,17:25:50.999,Mid,B180T LG,2.455000s,45,5,0.111111,5.000000,45.000000,0.111111,0,5
8,17:25:52.060,Mid,B180T LG,0.726000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
9,17:25:53.757,Mid,B180T LG,1.395000s,26,5,0.192308,5.000000,26.000000,0.192308,0,4
10,17:25:55.234,Mid,B180T LG,1.173000s,22,5,0.227273,5.000000,22.000000,0.227273,0,5
11,17:25:56.240,Low,B180T LG,0.669000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
12,17:25:57.853,High,B180T LG,1.281000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
13,17:25:59.193,High,B180T LG,1.003000s,19,5,0.263158,5.000000,19.000000,0.263158,0,5
14,17:26:01.703,Mid,B180T LG,2.173000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
15,17:26:03.318,Mid,B180T LG,1.281000s,24,5,0.208333,5.000000,24.000000,0.208333,0,5
16,17:26:04.994,Low,B180T LG,1.341000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
17,17:26:06.054,Low,B180T LG,0.726000s,14,5,0.357143,5.000000,14.000000,0.357143,0,5
18,17:26:08.395,Mid,B180T LG,2.006000s,37,5,0.135135,5.000000,37.000000,0.135135,0,5
19,17:26:12.408,High,B180T LG,3.678000s,67,5,0.074627,5.000000,67.000000,0.074627,0,5
20,17:26:13.637,Mid,B180T LG,0.893000s,17,5,0.294118,5.000000,17.000000,0.294118,0,5
21,17:26:14.643,Mid,B180T LG,0.669000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
22,17:26:16.146,Low,B180T LG,1.173000s,22,5,0.227273,5.000000,22.000000,0.227273,0,5
23,17:26:17.316,Low,B180T LG,0.836000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
24,17:26:19.824,Mid,B180T LG,2.177000s,40,5,0.125000,5.000000,40.000000,0.125000,0,5
25,17:26:21.500,Mid,B180T LG,1.338000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
26,17:26:24.283,High,B180T LG,2.451000s,45,5,0.111111,5.000000,45.000000,0.111111,0,5
27,17:26:26.350,High,B180T LG,1.729000s,32,5,0.156250,5.000000,32.000000,0.156250,0,5
28,17:26:29.140,Mid,B180T LG,2.456000s,45,5,0.111111,5.000000,45.000000,0.111111,0,5
29,17:26:30.308,Mid,B180T LG,0.836000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
30,17:26:31.981,Mid,B180T LG,1.338000s,25,5,0.200000,5.000000,25.000000,0.200000,0,5
31,17:26:34.433,High,B180T LG,2.118000s,39,5,0.128205,5.000000,39.000000,0.128205,0,5
32,17:26:36.443,Low,B180T LG,1.673000s,31,6,0.193548,6.000000,31.000000,0.193548,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,918,164,164.0,918.0,

Kills:,32
Deaths:,0
Fight Time:,47.484001
Time Remaining:,0.0
Avg TTK:,2.272725
Damage Done:,164.0
Total Overshots:,159
Damage Taken:,0.0
Hit Count:,164
Miss Count:,754
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,328.0
Scenario:,VT bounceTS Intermediate 25% smaller
Hash:,ae80f31bf454f10b292bedca67f74ef9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:25:38.332
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,294.98114
Resolution Scale:,100.0
