Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:11:52.332,Mid,B180T LG,1.254000s,47,5,0.106383,5.000000,47.000000,0.106383,0,11
2,17:11:53.087,Mid,B180T LG,0.420000s,16,5,0.312500,5.000000,16.000000,0.312500,0,11
3,17:11:53.533,Low,B180T LG,0.113000s,5,5,1.000000,5.000000,5.000000,1.000000,0,11
4,17:11:54.201,Mid,B180T LG,0.444000s,17,5,0.294118,5.000000,17.000000,0.294118,0,6
5,17:11:55.119,High,B180T LG,0.613000s,23,5,0.217391,5.000000,23.000000,0.217391,0,10
6,17:11:56.740,High,B180T LG,1.311000s,48,5,0.104167,5.000000,48.000000,0.104167,0,11
7,17:11:57.630,High,B180T LG,0.556000s,21,5,0.238095,5.000000,21.000000,0.238095,0,10
8,17:11:59.249,Mid,B180T LG,1.308000s,48,5,0.104167,5.000000,48.000000,0.104167,0,11
9,17:11:59.745,Mid,B180T LG,0.167000s,7,5,0.714286,5.000000,7.000000,0.714286,0,10
10,17:12:01.699,Low,B180T LG,1.643000s,60,5,0.083333,5.000000,60.000000,0.083333,0,10
11,17:12:02.508,Low,B180T LG,0.499000s,19,5,0.263158,5.000000,19.000000,0.263158,0,10
12,17:12:03.880,Mid,B180T LG,1.060000s,39,5,0.128205,5.000000,39.000000,0.128205,0,11
13,17:12:05.243,Low,B180T LG,1.033000s,38,5,0.131579,5.000000,38.000000,0.131579,0,11
14,17:12:06.158,Mid,B180T LG,0.585000s,22,5,0.227273,5.000000,22.000000,0.227273,0,10
15,17:12:06.805,Mid,B180T LG,0.335000s,13,5,0.384615,5.000000,13.000000,0.384615,0,11
16,17:12:07.668,High,B180T LG,0.533000s,20,5,0.250000,5.000000,20.000000,0.250000,0,10
17,17:12:08.307,Low,B180T LG,0.331000s,13,5,0.384615,5.000000,13.000000,0.384615,0,10
18,17:12:09.313,High,B180T LG,0.698000s,26,5,0.192308,5.000000,26.000000,0.192308,0,10
19,17:12:10.070,Mid,B180T LG,0.530000s,20,8,0.400000,8.000000,20.000000,0.400000,0,7
20,17:12:10.540,Mid,B180T LG,0.163000s,7,2,0.285714,2.000000,7.000000,0.285714,0,10
21,17:12:11.769,Mid,B180T LG,0.917000s,34,5,0.147059,5.000000,34.000000,0.147059,0,11
22,17:12:12.269,Low,B180T LG,0.168000s,7,5,0.714286,5.000000,7.000000,0.714286,0,11
23,17:12:13.105,Low,B180T LG,0.503000s,19,5,0.263158,5.000000,19.000000,0.263158,0,10
24,17:12:14.501,High,B180T LG,1.085000s,40,5,0.125000,5.000000,40.000000,0.125000,0,11
25,17:12:15.225,Mid,B180T LG,0.387000s,15,5,0.333333,5.000000,15.000000,0.333333,0,11
26,17:12:15.866,Mid,B180T LG,0.307000s,12,5,0.416667,5.000000,12.000000,0.416667,0,10
27,17:12:17.680,High,B180T LG,1.503000s,55,5,0.090909,5.000000,55.000000,0.090909,0,11
28,17:12:18.128,Low,B180T LG,0.111000s,5,5,1.000000,5.000000,5.000000,1.000000,0,11
29,17:12:18.963,Mid,B180T LG,0.503000s,19,5,0.263158,5.000000,19.000000,0.263158,0,11
30,17:12:19.435,Mid,B180T LG,0.141000s,6,5,0.833333,5.000000,6.000000,0.833333,0,11
31,17:12:20.466,Mid,B180T LG,0.695000s,26,5,0.192308,5.000000,26.000000,0.192308,0,11
32,17:12:20.994,High,B180T LG,0.193000s,8,5,0.625000,5.000000,8.000000,0.625000,0,10
33,17:12:22.251,High,B180T LG,0.948000s,35,6,0.171429,6.000000,35.000000,0.171429,0,11
34,17:12:22.863,Mid,B180T LG,0.280000s,11,4,0.363636,4.000000,11.000000,0.363636,0,10
35,17:12:24.538,Mid,B180T LG,1.365000s,50,5,0.100000,5.000000,50.000000,0.100000,0,11
36,17:12:25.460,Mid,B180T LG,0.863000s,32,6,0.187500,6.000000,32.000000,0.187500,0,0
37,17:12:25.850,High,B180T LG,0.081000s,4,4,1.000000,4.000000,4.000000,1.000000,0,11
38,17:12:27.016,Low,B180T LG,0.833000s,31,6,0.193548,6.000000,31.000000,0.193548,0,10
39,17:12:27.577,Low,B180T LG,0.253000s,10,4,0.400000,4.000000,10.000000,0.400000,0,11
40,17:12:28.354,Mid,B180T LG,0.445000s,17,5,0.294118,5.000000,17.000000,0.294118,0,10
41,17:12:29.361,High,B180T LG,0.696000s,26,5,0.192308,5.000000,26.000000,0.192308,0,11
42,17:12:30.057,Mid,B180T LG,0.360000s,14,5,0.357143,5.000000,14.000000,0.357143,0,11
43,17:12:30.807,Mid,B180T LG,0.418000s,16,5,0.312500,5.000000,16.000000,0.312500,0,10
44,17:12:31.676,Mid,B180T LG,0.559000s,21,5,0.238095,5.000000,21.000000,0.238095,0,11
45,17:12:33.041,Low,B180T LG,1.034000s,38,5,0.131579,5.000000,38.000000,0.131579,0,11
46,17:12:34.016,Low,B180T LG,0.640000s,24,7,0.291667,7.000000,24.000000,0.291667,0,11
47,17:12:34.991,High,B180T LG,0.642000s,24,3,0.125000,3.000000,24.000000,0.125000,0,11
48,17:12:36.049,Mid,B180T LG,0.724000s,27,5,0.185185,5.000000,27.000000,0.185185,0,10
49,17:12:36.912,Mid,B180T LG,0.556000s,21,5,0.238095,5.000000,21.000000,0.238095,0,10
50,17:12:37.528,Low,B180T LG,0.308000s,12,5,0.416667,5.000000,12.000000,0.416667,0,11
51,17:12:38.728,Mid,B180T LG,0.863000s,32,5,0.156250,5.000000,32.000000,0.156250,0,11
52,17:12:39.677,Mid,B180T LG,0.613000s,23,5,0.217391,5.000000,23.000000,0.217391,0,11
53,17:12:40.399,High,B180T LG,0.388000s,15,5,0.333333,5.000000,15.000000,0.333333,0,10
54,17:12:41.265,High,B180T LG,0.557000s,21,5,0.238095,5.000000,21.000000,0.238095,0,11
55,17:12:41.711,Low,B180T LG,0.109000s,5,5,1.000000,5.000000,5.000000,1.000000,0,11
56,17:12:43.185,High,B180T LG,1.142000s,42,5,0.119048,5.000000,42.000000,0.119048,0,10
57,17:12:43.942,Mid,B180T LG,0.448000s,17,5,0.294118,5.000000,17.000000,0.294118,0,11
58,17:12:45.214,High,B180T LG,0.939000s,34,5,0.147059,5.000000,34.000000,0.147059,0,11
59,17:12:46.608,Mid,B180T LG,1.058000s,39,5,0.128205,5.000000,39.000000,0.128205,0,10
60,17:12:47.362,Mid,B180T LG,0.445000s,17,5,0.294118,5.000000,17.000000,0.294118,0,11
61,17:12:48.503,Mid,B180T LG,0.808000s,30,5,0.166667,5.000000,30.000000,0.166667,0,11
62,17:12:49.202,Low,B180T LG,0.363000s,14,5,0.357143,5.000000,14.000000,0.357143,0,11
63,17:12:50.148,Low,B180T LG,0.611000s,23,5,0.217391,5.000000,23.000000,0.217391,0,10

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,1502,315,315.0,1502.0,

Kills:,63
Deaths:,0
Fight Time:,39.458
Time Remaining:,0.0
Avg TTK:,1.1544
Damage Done:,315.0
Total Overshots:,650
Damage Taken:,0.0
Hit Count:,315
Miss Count:,1187
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,630.0
Scenario:,VT bounceTS Intermediate 50% TTK
Hash:,27611cb6a7fc8fbbf403cd7e72e3a4fe
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:11:50.762
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,288.517578
Resolution Scale:,100.0
