Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,02:09:20.455,Mid,B180T LG,0.589000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
2,02:09:21.109,High,B180T LG,0.299000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
3,02:09:21.929,Mid,B180T LG,0.474000s,9,5,0.555556,5.000000,9.000000,0.555556,0,5
4,02:09:22.493,Mid,B180T LG,0.415000s,8,5,0.625000,5.000000,8.000000,0.625000,0,1
5,02:09:23.473,Low,B180T LG,0.655000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
6,02:09:24.119,Low,B180T LG,0.295000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
7,02:09:25.782,High,B180T LG,1.304000s,23,5,0.217391,5.000000,23.000000,0.217391,0,5
8,02:09:26.844,Mid,B180T LG,0.706000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
9,02:09:27.554,Low,B180T LG,0.358000s,7,5,0.714286,5.000000,7.000000,0.714286,0,5
10,02:09:28.322,Mid,B180T LG,0.414000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
11,02:09:29.091,Mid,B180T LG,0.416000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
12,02:09:30.455,High,B180T LG,1.011000s,18,5,0.277778,5.000000,18.000000,0.277778,0,5
13,02:09:31.637,Mid,B180T LG,0.826000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
14,02:09:32.615,Mid,B180T LG,0.651000s,12,5,0.416667,5.000000,12.000000,0.416667,0,4
15,02:09:33.532,Low,B180T LG,0.592000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
16,02:09:34.536,High,B180T LG,0.651000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
17,02:09:35.131,High,B180T LG,0.240000s,5,5,1.000000,5.000000,5.000000,1.000000,0,5
18,02:09:35.955,Mid,B180T LG,0.475000s,9,5,0.555556,5.000000,9.000000,0.555556,0,5
19,02:09:36.602,Mid,B180T LG,0.294000s,6,5,0.833333,5.000000,6.000000,0.833333,0,5
20,02:09:38.118,Mid,B180T LG,1.182000s,21,5,0.238095,5.000000,21.000000,0.238095,0,4
21,02:09:38.856,Low,B180T LG,0.412000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
22,02:09:40.035,High,B180T LG,0.827000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
