Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:18:51.218,Mid,B180T LG,1.155000s,21,9,0.428571,9.000000,21.000000,0.428571,0,5
2,17:18:52.992,High,B180T LG,1.419000s,25,13,0.520000,13.000000,25.000000,0.520000,0,5
3,17:18:53.761,Low,B180T LG,0.415000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
4,17:18:56.008,Mid,B180T LG,1.890000s,33,12,0.363636,12.000000,33.000000,0.363636,0,5
5,17:18:57.251,High,B180T LG,0.888000s,16,5,0.312500,5.000000,16.000000,0.312500,0,5
6,17:18:59.264,Mid,B180T LG,1.656000s,29,16,0.551724,16.000000,29.000000,0.551724,0,5
7,17:19:00.210,Mid,B180T LG,0.594000s,11,5,0.454545,5.000000,11.000000,0.454545,0,5
8,17:19:03.583,Low,B180T LG,3.014000s,52,22,0.423077,22.000000,52.000000,0.423077,0,5
9,17:19:04.412,Low,B180T LG,0.475000s,9,5,0.555556,5.000000,9.000000,0.555556,0,5
10,17:19:05.244,High,B180T LG,0.478000s,9,5,0.555556,5.000000,9.000000,0.555556,0,5
11,17:19:07.727,Mid,B180T LG,2.131000s,37,21,0.567568,21.000000,37.000000,0.567568,0,5
12,17:19:09.383,Mid,B180T LG,1.301000s,23,6,0.260870,6.000000,23.000000,0.260870,0,5
13,17:19:11.630,Mid,B180T LG,1.893000s,33,10,0.303030,10.000000,33.000000,0.303030,0,5
14,17:19:14.528,Low,B180T LG,2.544000s,44,19,0.431818,19.000000,44.000000,0.431818,0,5
15,17:19:15.355,High,B180T LG,0.471000s,9,5,0.555556,5.000000,9.000000,0.555556,0,5
16,17:19:16.716,High,B180T LG,1.006000s,18,8,0.444444,8.000000,18.000000,0.444444,0,5
17,17:19:18.491,Mid,B180T LG,1.419000s,25,7,0.280000,7.000000,25.000000,0.280000,0,5
18,17:19:19.882,Mid,B180T LG,1.243000s,22,8,0.363636,8.000000,22.000000,0.363636,0,1
19,17:19:20.537,Mid,B180T LG,0.532000s,10,7,0.700000,7.000000,10.000000,0.700000,0,1
20,17:19:21.804,Low,B180T LG,0.942000s,17,7,0.411765,7.000000,17.000000,0.411765,0,5
21,17:19:22.992,Mid,B180T LG,0.829000s,15,5,0.333333,5.000000,15.000000,0.333333,0,5
22,17:19:23.994,High,B180T LG,0.652000s,12,5,0.416667,5.000000,12.000000,0.416667,0,5
23,17:19:26.302,Low,B180T LG,1.953000s,34,15,0.441176,15.000000,34.000000,0.441176,0,5
24,17:19:27.012,Mid,B180T LG,0.356000s,7,5,0.714286,5.000000,7.000000,0.714286,0,5
25,17:19:29.083,Mid,B180T LG,1.713000s,30,17,0.566667,17.000000,30.000000,0.566667,0,5
26,17:19:30.679,High,B180T LG,1.239000s,22,7,0.318182,7.000000,22.000000,0.318182,0,5
27,17:19:31.747,High,B180T LG,0.712000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
28,17:19:32.457,Low,B180T LG,0.356000s,7,6,0.857143,6.000000,7.000000,0.857143,0,5
29,17:19:33.758,Mid,B180T LG,0.948000s,17,10,0.588235,10.000000,17.000000,0.588235,0,5
30,17:19:39.731,Mid,B180T LG,5.620000s,96,30,0.312500,30.000000,96.000000,0.312500,0,5
31,17:19:40.500,Mid,B180T LG,0.414000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
32,17:19:41.329,Low,B180T LG,0.471000s,9,7,0.777778,7.000000,9.000000,0.777778,0,5
33,17:19:42.748,Low,B180T LG,1.067000s,19,9,0.473684,9.000000,19.000000,0.473684,0,5
34,17:19:44.051,Mid,B180T LG,0.947000s,17,6,0.352941,6.000000,17.000000,0.352941,0,5
35,17:19:45.708,High,B180T LG,1.304000s,23,7,0.304348,7.000000,23.000000,0.304348,0,5
36,17:19:46.775,High,B180T LG,0.713000s,13,5,0.384615,5.000000,13.000000,0.384615,0,5
37,17:19:47.660,Mid,B180T LG,0.533000s,10,5,0.500000,5.000000,10.000000,0.500000,0,5
38,17:19:48.430,Mid,B180T LG,0.412000s,8,5,0.625000,5.000000,8.000000,0.625000,0,5
39,17:19:49.714,Low,B180T LG,1.244000s,22,9,0.409091,9.000000,22.000000,0.409091,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
B180T LG,833,358,358.0,833.0,

Kills:,39
Deaths:,0
Fight Time:,46.949001
Time Remaining:,0.0
Avg TTK:,1.980846
Damage Done:,358.0
Total Overshots:,182
Damage Taken:,0.0
Hit Count:,358
Miss Count:,475
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,390.0
Scenario:,VT bounceTS Novice Regen
Hash:,cf936d4399f5912bc554980f89c6bb6f
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:18:49.727
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,307.287872
Resolution Scale:,100.0
