Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,01:59:18.154,Quaker Bot Long Strafes,MGV2,1.222000s,42,12,0.285714,1.201200,4.204201,0.285714,0,10
2,01:59:19.638,Quaker Bot Long Strafes,MGV2,1.145000s,38,12,0.315789,1.201200,3.803801,0.315789,0,9
3,01:59:20.320,Quaker Bot Long Strafes,MGV2,0.368000s,13,12,0.923077,1.201200,1.301300,0.923077,0,9
4,01:59:21.472,Quaker Bot Long Strafes,MGV2,0.837000s,28,12,0.428571,1.201200,2.802801,0.428571,0,10
5,01:59:22.272,Quaker Bot Long Strafes,MGV2,0.526000s,18,12,0.666667,1.201200,1.801800,0.666667,0,7
6,01:59:22.893,Quaker Bot Long Strafes,MGV2,0.404000s,14,12,0.857143,1.201200,1.401400,0.857143,0,6
7,01:59:23.545,Quaker Bot Long Strafes,MGV2,0.338000s,12,12,1.000000,1.201200,1.201200,1.000000,0,10
8,01:59:24.346,Quaker Bot Long Strafes,MGV2,0.654000s,22,12,0.545455,1.201200,2.202200,0.545454,0,3
9,01:59:25.006,Quaker Bot Long Strafes,MGV2,0.343000s,12,12,1.000000,1.201200,1.201200,1.000000,0,10
10,01:59:27.141,Quaker Bot Long Strafes,MGV2,1.796000s,59,23,0.389830,2.302300,5.905902,0.389830,0,10
11,01:59:27.949,Quaker Bot Long Strafes,MGV2,0.468000s,16,12,0.750000,1.201200,1.601600,0.750000,0,10
12,01:59:28.569,Quaker Bot Long Strafes,MGV2,0.277000s,10,1,0.100000,0.100100,1.001000,0.100000,0,10
13,01:59:29.285,Quaker Bot Long Strafes,MGV2,0.371000s,13,12,0.923077,1.201200,1.301300,0.923077,0,10
14,01:59:30.093,Quaker Bot Long Strafes,MGV2,0.468000s,16,12,0.750000,1.201200,1.601600,0.750000,0,10
15,01:59:30.799,Quaker Bot Long Strafes,MGV2,0.371000s,13,12,0.923077,1.201200,1.301300,0.923077,0,10
16,01:59:32.045,Quaker Bot Long Strafes,MGV2,0.901000s,30,13,0.433333,1.301300,3.003001,0.433333,0,10
17,01:59:32.852,Quaker Bot Long Strafes,MGV2,0.469000s,16,11,0.687500,1.101100,1.601600,0.687500,0,10
18,01:59:33.654,Quaker Bot Long Strafes,MGV2,0.466000s,16,12,0.750000,1.201200,1.601600,0.750000,0,10
19,01:59:34.333,Quaker Bot Long Strafes,MGV2,0.372000s,13,12,0.923077,1.201200,1.301300,0.923077,0,8
20,01:59:35.077,Quaker Bot Long Strafes,MGV2,0.496000s,17,12,0.705882,1.201200,1.701700,0.705882,0,7
21,01:59:35.822,Quaker Bot Long Strafes,MGV2,0.430000s,15,12,0.800000,1.201200,1.501500,0.800000,0,10
22,01:59:36.943,Quaker Bot Long Strafes,MGV2,0.780000s,26,12,0.461538,1.201200,2.602601,0.461538,0,10
23,01:59:38.331,Quaker Bot Long Strafes,MGV2,1.087000s,36,12,0.333333,1.201200,3.603601,0.333333,0,8
24,01:59:38.950,Quaker Bot Long Strafes,MGV2,0.337000s,12,12,1.000000,1.201200,1.201200,1.000000,0,8
