Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:54:39.210,target,LG,0.229000s,20,20,1.000000,1.000000,1.000000,1.000000,0,21
2,20:54:39.869,target,LG,0.389000s,33,20,0.606061,1.000000,1.649999,0.606061,0,21
3,20:54:40.900,target,LG,0.757000s,63,20,0.317460,1.000000,3.149998,0.317461,0,22
4,20:54:41.680,target,LG,0.505000s,42,20,0.476190,1.000000,2.099999,0.476191,0,22
5,20:54:42.741,target,LG,0.783000s,65,20,0.307692,1.000000,3.249998,0.307693,0,22
6,20:54:43.327,target,LG,0.304000s,26,20,0.769231,1.000000,1.300000,0.769231,0,22
7,20:54:44.122,target,LG,0.545000s,46,20,0.434783,1.000000,2.299999,0.434783,0,18
8,20:54:44.985,target,LG,0.596000s,50,20,0.400000,1.000000,2.499999,0.400000,0,21
9,20:54:45.645,target,LG,0.391000s,33,20,0.606061,1.000000,1.649999,0.606061,0,21
10,20:54:46.746,target,LG,0.829000s,69,20,0.289855,1.000000,3.449998,0.289855,0,22
11,20:54:47.490,target,LG,0.465000s,39,20,0.512821,1.000000,1.949999,0.512821,0,21
12,20:54:48.336,target,LG,0.574000s,48,20,0.416667,1.000000,2.399999,0.416667,0,22
13,20:54:48.979,target,LG,0.364000s,31,20,0.645161,1.000000,1.550000,0.645162,0,21
14,20:54:49.643,target,LG,0.392000s,33,20,0.606061,1.000000,1.649999,0.606061,0,22
15,20:54:50.482,target,LG,0.559000s,47,20,0.425532,1.000000,2.349999,0.425532,0,21
16,20:54:51.028,target,LG,0.277000s,24,20,0.833333,1.000000,1.200000,0.833333,0,21
17,20:54:51.851,target,LG,0.550000s,46,20,0.434783,1.000000,2.299999,0.434783,0,22
18,20:54:52.764,target,LG,0.632000s,53,20,0.377358,1.000000,2.649999,0.377359,0,21
19,20:54:53.354,target,LG,0.362000s,31,20,0.645161,1.000000,1.550000,0.645162,0,17
20,20:54:53.996,target,LG,0.376000s,32,20,0.625000,1.000000,1.600000,0.625000,0,21
21,20:54:55.526,target,LG,1.260000s,104,28,0.269231,1.400000,5.200002,0.269231,0,22
