Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,00:30:47.450,target,LG,1.007000s,77,20,0.259740,1.000000,3.849998,0.259740,0,21
2,00:30:48.107,target,LG,0.358000s,27,20,0.740741,1.000000,1.350000,0.740741,0,21
3,00:30:48.871,target,LG,0.478000s,36,20,0.555556,1.000000,1.799999,0.555556,0,20
4,00:30:49.501,target,LG,0.344000s,26,20,0.769231,1.000000,1.300000,0.769231,0,20
5,00:30:50.084,target,LG,0.287000s,22,20,0.909091,1.000000,1.100000,0.909091,0,21
6,00:30:51.083,target,LG,0.697000s,52,20,0.384615,1.000000,2.599999,0.384616,0,21
7,00:30:51.765,target,LG,0.379000s,29,20,0.689655,1.000000,1.450000,0.689655,0,21
8,00:30:52.965,target,LG,0.898000s,67,20,0.298507,1.000000,3.349998,0.298508,0,21
9,00:30:53.841,target,LG,0.572000s,43,20,0.465116,1.000000,2.149999,0.465117,0,22
10,00:30:54.565,target,LG,0.437000s,33,20,0.606061,1.000000,1.649999,0.606061,0,19
11,00:30:55.434,target,LG,0.572000s,43,20,0.465116,1.000000,2.149999,0.465117,0,21
12,00:30:56.540,target,LG,0.805000s,60,20,0.333333,1.000000,2.999998,0.333334,0,21
13,00:30:57.255,target,LG,0.475000s,36,20,0.555556,1.000000,1.799999,0.555556,0,16
14,00:30:57.865,target,LG,0.313000s,24,20,0.833333,1.000000,1.200000,0.833333,0,21
15,00:30:58.569,target,LG,0.405000s,31,20,0.645161,1.000000,1.550000,0.645162,0,21
16,00:30:59.794,target,LG,0.989000s,73,20,0.273973,1.000000,3.649998,0.273973,0,16
17,00:31:00.433,target,LG,0.393000s,30,20,0.666667,1.000000,1.500000,0.666667,0,17
18,00:31:01.168,target,LG,0.437000s,33,20,0.606061,1.000000,1.649999,0.606061,0,21
19,00:31:01.715,target,LG,0.296000s,23,20,0.869565,1.000000,1.150000,0.869565,0,17
20,00:31:03.118,target,LG,1.106000s,82,38,0.463415,1.899999,4.099998,0.463415,0,21
21,00:31:03.446,target,LG,0.029000s,3,2,0.666667,0.100000,0.150000,0.666667,0,21
22,00:31:05.846,target,LG,2.099000s,155,38,0.245161,1.899999,7.750011,0.245161,0,21
23,00:31:06.312,target,LG,0.164000s,13,2,0.153846,0.100000,0.650000,0.153846,0,21
24,00:31:06.915,target,LG,0.352000s,27,20,0.740741,1.000000,1.350000,0.740741,0,17
25,00:31:07.595,target,LG,0.384000s,29,20,0.689655,1.000000,1.450000,0.689655,0,21
26,00:31:08.192,target,LG,0.298000s,23,20,0.869565,1.000000,1.150000,0.869565,0,21
27,00:31:08.977,target,LG,0.480000s,36,20,0.555556,1.000000,1.799999,0.555556,0,22
28,00:31:10.011,target,LG,0.818000s,61,20,0.327869,1.000000,3.049998,0.327869,0,14
29,00:31:10.785,target,LG,0.478000s,36,20,0.555556,1.000000,1.799999,0.555556,0,21
30,00:31:11.728,target,LG,0.641000s,48,20,0.416667,1.000000,2.399999,0.416667,0,21
31,00:31:12.604,target,LG,0.573000s,43,20,0.465116,1.000000,2.149999,0.465117,0,21
32,00:31:13.727,target,LG,0.900000s,67,23,0.343284,1.150000,3.349998,0.343284,0,15
33,00:31:14.325,target,LG,0.354000s,27,17,0.629630,0.850000,1.350000,0.629630,0,17
34,00:31:14.964,target,LG,0.341000s,26,20,0.769231,1.000000,1.300000,0.769231,0,21
35,00:31:16.180,target,LG,0.915000s,68,20,0.294118,1.000000,3.399998,0.294118,0,21
36,00:31:17.244,target,LG,0.761000s,57,20,0.350877,1.000000,2.849998,0.350877,0,21
37,00:31:17.862,target,LG,0.479000s,36,20,0.555556,1.000000,1.799999,0.555556,0,9
38,00:31:18.414,target,LG,0.256000s,20,20,1.000000,1.000000,1.000000,1.000000,0,21
39,00:31:19.140,target,LG,0.425000s,32,20,0.625000,1.000000,1.600000,0.625000,0,21
