Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:55:53.760,Quaker Bot Long Strafes,LG,0.764000s,74,16,0.216216,80.000000,370.000000,0.216216,0,25
2,20:55:54.306,Quaker Bot Long Strafes,LG,0.276000s,27,16,0.592593,80.000000,135.000000,0.592593,0,25
3,20:55:54.852,Quaker Bot Long Strafes,LG,0.272000s,27,16,0.592593,80.000000,135.000000,0.592593,0,24
4,20:55:55.307,Quaker Bot Long Strafes,LG,0.188000s,19,18,0.947368,90.000000,95.000000,0.947368,0,25
5,20:55:55.788,Quaker Bot Long Strafes,LG,0.214000s,21,14,0.666667,70.000000,105.000000,0.666667,0,25
6,20:55:56.304,Quaker Bot Long Strafes,LG,0.240000s,24,16,0.666667,80.000000,120.000000,0.666667,0,25
7,20:55:56.778,Quaker Bot Long Strafes,LG,0.202000s,20,16,0.800000,80.000000,100.000000,0.800000,0,25
8,20:55:57.333,Quaker Bot Long Strafes,LG,0.537000s,52,21,0.403846,105.000000,260.000000,0.403846,0,0
9,20:55:57.701,Quaker Bot Long Strafes,LG,0.104000s,11,11,1.000000,55.000000,55.000000,1.000000,0,25
10,20:55:58.694,Quaker Bot Long Strafes,LG,0.713000s,69,16,0.231884,80.000000,345.000000,0.231884,0,25
11,20:55:59.319,Quaker Bot Long Strafes,LG,0.349000s,34,16,0.470588,80.000000,170.000000,0.470588,0,25
12,20:55:59.961,Quaker Bot Long Strafes,LG,0.367000s,36,16,0.444444,80.000000,180.000000,0.444444,0,25
13,20:56:00.432,Quaker Bot Long Strafes,LG,0.199000s,20,16,0.800000,80.000000,100.000000,0.800000,0,25
14,20:56:00.939,Quaker Bot Long Strafes,LG,0.231000s,23,16,0.695652,80.000000,115.000000,0.695652,0,25
15,20:56:01.419,Quaker Bot Long Strafes,LG,0.211000s,21,16,0.761905,80.000000,105.000000,0.761905,0,25
16,20:56:02.007,Quaker Bot Long Strafes,LG,0.398000s,39,16,0.410256,80.000000,195.000000,0.410256,0,16
17,20:56:02.547,Quaker Bot Long Strafes,LG,0.273000s,27,16,0.592593,80.000000,135.000000,0.592593,0,25
18,20:56:03.302,Quaker Bot Long Strafes,LG,0.504000s,49,16,0.326531,80.000000,245.000000,0.326531,0,22
19,20:56:03.893,Quaker Bot Long Strafes,LG,0.325000s,32,16,0.500000,80.000000,160.000000,0.500000,0,25
20,20:56:04.517,Quaker Bot Long Strafes,LG,0.351000s,34,16,0.470588,80.000000,170.000000,0.470588,0,25
21,20:56:05.159,Quaker Bot Long Strafes,LG,0.371000s,36,16,0.444444,80.000000,180.000000,0.444444,0,25
22,20:56:05.803,Quaker Bot Long Strafes,LG,0.374000s,36,16,0.444444,80.000000,180.000000,0.444444,0,25
23,20:56:06.492,Quaker Bot Long Strafes,LG,0.431000s,42,16,0.380952,80.000000,210.000000,0.380952,0,23
24,20:56:07.051,Quaker Bot Long Strafes,LG,0.315000s,31,16,0.516129,80.000000,155.000000,0.516129,0,22
25,20:56:07.555,Quaker Bot Long Strafes,LG,0.273000s,27,17,0.629630,85.000000,135.000000,0.629630,0,21
26,20:56:08.034,Quaker Bot Long Strafes,LG,0.211000s,21,15,0.714286,75.000000,105.000000,0.714286,0,25
27,20:56:08.462,Quaker Bot Long Strafes,LG,0.233000s,23,16,0.695652,80.000000,115.000000,0.695652,0,17
28,20:56:09.239,Quaker Bot Long Strafes,LG,0.512000s,50,17,0.340000,85.000000,250.000000,0.340000,0,25
29,20:56:09.908,Quaker Bot Long Strafes,LG,0.390000s,38,15,0.394737,75.000000,190.000000,0.394737,0,25
30,20:56:10.431,Quaker Bot Long Strafes,LG,0.255000s,25,16,0.640000,80.000000,125.000000,0.640000,0,25
31,20:56:10.972,Quaker Bot Long Strafes,LG,0.263000s,26,16,0.615385,80.000000,130.000000,0.615385,0,25
32,20:56:11.534,Quaker Bot Long Strafes,LG,0.294000s,29,16,0.551724,80.000000,145.000000,0.551724,0,25
33,20:56:12.052,Quaker Bot Long Strafes,LG,0.245000s,24,16,0.666667,80.000000,120.000000,0.666667,0,25
34,20:56:12.546,Quaker Bot Long Strafes,LG,0.218000s,22,16,0.727273,80.000000,110.000000,0.727273,0,25
35,20:56:14.125,Quaker Bot Long Strafes,LG,1.307000s,125,26,0.208000,130.000000,625.000000,0.208000,0,25
36,20:56:14.624,Quaker Bot Long Strafes,LG,0.223000s,22,16,0.727273,80.000000,110.000000,0.727273,0,25
37,20:56:15.318,Quaker Bot Long Strafes,LG,0.426000s,41,6,0.146341,30.000000,205.000000,0.146341,0,25
38,20:56:15.843,Quaker Bot Long Strafes,LG,0.253000s,25,16,0.640000,80.000000,125.000000,0.640000,0,25
39,20:56:16.199,Quaker Bot Long Strafes,LG,0.169000s,17,16,0.941176,80.000000,85.000000,0.941176,0,16
40,20:56:16.709,Quaker Bot Long Strafes,LG,0.239000s,24,16,0.666667,80.000000,120.000000,0.666667,0,25
41,20:56:17.168,Quaker Bot Long Strafes,LG,0.189000s,19,16,0.842105,80.000000,95.000000,0.842105,0,25
