Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:00:47.449,Quaker Bot Long Strafes,LG,0.515000s,51,16,0.313726,80.000000,255.000000,0.313726,0,25
2,17:00:47.907,Quaker Bot Long Strafes,LG,0.167000s,16,16,1.000000,80.000000,80.000000,1.000000,0,25
3,17:00:48.495,Quaker Bot Long Strafes,LG,0.299000s,28,16,0.571429,80.000000,140.000000,0.571429,0,25
4,17:00:49.009,Quaker Bot Long Strafes,LG,0.223000s,21,16,0.761905,80.000000,105.000000,0.761905,0,25
5,17:00:49.553,Quaker Bot Long Strafes,LG,0.259000s,24,16,0.666667,80.000000,120.000000,0.666667,0,25
6,17:00:50.030,Quaker Bot Long Strafes,LG,0.188000s,18,16,0.888889,80.000000,90.000000,0.888889,0,25
7,17:00:50.743,Quaker Bot Long Strafes,LG,0.421000s,39,16,0.410256,80.000000,195.000000,0.410256,0,25
8,17:00:51.271,Quaker Bot Long Strafes,LG,0.245000s,23,16,0.695652,80.000000,115.000000,0.695652,0,25
9,17:00:51.786,Quaker Bot Long Strafes,LG,0.225000s,21,16,0.761905,80.000000,105.000000,0.761905,0,25
10,17:00:52.409,Quaker Bot Long Strafes,LG,0.333000s,31,16,0.516129,80.000000,155.000000,0.516129,0,25
11,17:00:53.019,Quaker Bot Long Strafes,LG,0.326000s,30,16,0.533333,80.000000,150.000000,0.533333,0,25
12,17:00:53.491,Quaker Bot Long Strafes,LG,0.185000s,18,16,0.888889,80.000000,90.000000,0.888889,0,24
13,17:00:54.196,Quaker Bot Long Strafes,LG,0.425000s,39,16,0.410256,80.000000,195.000000,0.410256,0,25
14,17:00:54.832,Quaker Bot Long Strafes,LG,0.345000s,32,16,0.500000,80.000000,160.000000,0.500000,0,25
15,17:00:55.428,Quaker Bot Long Strafes,LG,0.366000s,34,16,0.470588,80.000000,170.000000,0.470588,0,19
16,17:00:55.757,Quaker Bot Long Strafes,LG,0.164000s,16,16,1.000000,80.000000,80.000000,1.000000,0,14
17,17:00:56.285,Quaker Bot Long Strafes,LG,0.246000s,23,16,0.695652,80.000000,115.000000,0.695652,0,25
18,17:00:56.795,Quaker Bot Long Strafes,LG,0.278000s,26,16,0.615385,80.000000,130.000000,0.615385,0,19
19,17:00:57.818,Quaker Bot Long Strafes,LG,0.742000s,68,30,0.441176,150.000000,340.000000,0.441176,0,25
20,17:00:58.303,Quaker Bot Long Strafes,LG,0.196000s,19,2,0.105263,10.000000,95.000000,0.105263,0,25
21,17:00:59.095,Quaker Bot Long Strafes,LG,0.499000s,46,16,0.347826,80.000000,230.000000,0.347826,0,25
22,17:00:59.586,Quaker Bot Long Strafes,LG,0.199000s,19,16,0.842105,80.000000,95.000000,0.842105,0,25
23,17:01:00.383,Quaker Bot Long Strafes,LG,0.510000s,47,16,0.340426,80.000000,235.000000,0.340426,0,25
24,17:01:01.208,Quaker Bot Long Strafes,LG,0.534000s,49,16,0.326531,80.000000,245.000000,0.326531,0,25
25,17:01:02.264,Quaker Bot Long Strafes,LG,0.765000s,70,16,0.228571,80.000000,350.000000,0.228571,0,25
