Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:29:18.870,Shinji Bot,pistol,0.449000s,3,3,1.000000,30.000000,30.000000,1.000000,0,1
2,15:29:19.421,Shinji Bot,pistol,0.197000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
3,15:29:19.900,Shinji small Bot,pistol,0.197000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
4,15:29:20.512,Shinji small Bot,pistol,0.198000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
5,15:29:21.780,Shinji Bot,pistol,0.760000s,7,5,0.714286,50.000000,70.000000,0.714286,0,0
6,15:29:22.647,Shinji Bot,pistol,0.374000s,4,1,0.250000,10.000000,40.000000,0.250000,0,1
7,15:29:24.545,Shinji Bot,pistol,1.041000s,6,5,0.833333,50.000000,60.000000,0.833333,0,1
8,15:29:25.231,Shinji Bot,pistol,0.000000s,1,1,1.000000,10.000000,10.000000,1.000000,0,2
9,15:29:25.951,Shinji Bot,pistol,0.195000s,3,3,1.000000,30.000000,30.000000,1.000000,0,1
10,15:29:26.826,Shinji Bot,pistol,0.196000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
11,15:29:27.832,Shinji Bot,pistol,0.195000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
12,15:29:28.503,Shinji Bot,pistol,0.191000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
13,15:29:29.752,Shinji small Bot,pistol,0.198000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
14,15:29:30.334,Shinji Bot,pistol,0.406000s,3,3,1.000000,30.000000,30.000000,1.000000,0,1
15,15:29:31.165,Shinji Bot,pistol,0.197000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
16,15:29:32.811,Shinji small Bot,pistol,0.953000s,5,5,1.000000,50.000000,50.000000,1.000000,0,0
17,15:29:33.396,Shinji Bot,pistol,0.400000s,3,3,1.000000,30.000000,30.000000,1.000000,0,1
18,15:29:34.059,Shinji Bot,pistol,0.194000s,3,3,1.000000,30.000000,30.000000,1.000000,0,0
