Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:49:36.495,target_bot2,hitscan,0.000000s,1,1,1.000000,4.000000,4.000000,1.000000,0,0
2,15:49:40.045,target_bot2,hitscan,0.599000s,2,1,0.500000,4.000000,8.000000,0.500000,0,0
3,15:49:42.146,target_bot2,hitscan,1.430000s,3,1,0.333333,2.000000,12.000000,0.166667,0,0
4,15:49:42.825,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
5,15:49:43.491,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
6,15:49:44.166,target_bot2,hitscan,0.000000s,1,1,1.000000,4.000000,4.000000,1.000000,0,0
7,15:49:44.817,target_bot2,hitscan,0.000000s,1,1,1.000000,4.000000,4.000000,1.000000,0,0
8,15:49:45.485,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
9,15:49:46.151,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
10,15:49:46.789,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
11,15:49:48.152,target_bot2,hitscan,0.727000s,2,1,0.500000,2.000000,8.000000,0.250000,0,0
12,15:49:48.828,target_bot2,hitscan,0.000000s,1,1,1.000000,4.000000,4.000000,1.000000,0,0
13,15:49:51.680,target_bot2,hitscan,2.163000s,4,1,0.250000,2.000000,16.000000,0.125000,0,0
14,15:49:56.695,target_bot2,hitscan,4.351000s,7,1,0.142857,4.000000,28.000000,0.142857,0,0
15,15:50:02.445,target_bot2,hitscan,5.077000s,8,1,0.125000,2.000000,32.000000,0.062500,0,0
16,15:50:05.250,target_bot2,hitscan,2.110000s,4,1,0.250000,2.000000,16.000000,0.125000,0,0
17,15:50:06.594,target_bot2,hitscan,0.722000s,2,1,0.500000,2.000000,8.000000,0.250000,0,0
18,15:50:09.423,target_bot2,hitscan,2.164000s,4,1,0.250000,2.000000,16.000000,0.125000,0,0
19,15:50:12.243,target_bot2,hitscan,2.173000s,4,1,0.250000,2.000000,16.000000,0.125000,0,0
20,15:50:14.357,target_bot2,hitscan,1.460000s,3,1,0.333333,2.000000,12.000000,0.166667,0,0
21,15:50:15.009,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
22,15:50:20.029,target_bot2,hitscan,4.369000s,7,1,0.142857,2.000000,28.000000,0.071429,0,0
23,15:50:22.159,target_bot2,hitscan,1.475000s,3,1,0.333333,2.000000,12.000000,0.166667,0,0
24,15:50:22.810,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
25,15:50:23.406,target_bot2,hitscan,0.000000s,1,1,1.000000,2.000000,4.000000,0.500000,0,0
26,15:50:29.874,target_bot2,hitscan,5.866000s,9,1,0.111111,2.000000,36.000000,0.055556,0,0
27,15:50:32.013,target_bot2,hitscan,1.388000s,3,1,0.333333,2.000000,12.000000,0.166667,0,0
28,15:50:34.830,target_bot2,hitscan,2.187000s,6,1,0.166667,2.000000,24.000000,0.083333,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
hitscan,84,28,68.0,336.0,
sheriff-ish,0,0,0.0,0.0,

Kills:,28
Deaths:,0
Fight Time:,38.261002
Time Remaining:,0.0
Avg TTK:,2.142845
Damage Done:,68.0
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,28
Miss Count:,56
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3200.0
Scenario:,Valorant Vertical Flicks
Hash:,649ddb12600d93e3fe2ffdf92a15da08
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:49:35.819
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.3498
Horiz Sens:,0.35
Vert Sens:,0.35
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,206.637131
Resolution Scale:,100.0
