Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,17:04:54.767,test,Poke-Drill,1.214000s,88,22,0.250000,48.400009,193.599838,0.250000,0,24
2,17:04:56.554,test,Poke-Drill,1.427000s,101,36,0.356436,79.199997,222.199799,0.356436,0,25
3,17:04:57.912,test,Poke-Drill,0.986000s,70,25,0.357143,55.000011,153.999893,0.357143,0,25
4,17:04:58.477,test,Poke-Drill,0.272000s,20,19,0.950000,41.800007,44.000008,0.950000,0,19
5,17:04:59.225,test,Poke-Drill,0.388000s,28,19,0.678571,41.800007,61.600014,0.678571,0,25
6,17:05:00.598,test,Poke-Drill,1.001000s,71,25,0.352113,55.000011,156.199890,0.352113,0,25
7,17:05:02.655,test,Poke-Drill,1.688000s,119,34,0.285714,74.800003,261.799774,0.285715,0,25
8,17:05:05.012,test,Poke-Drill,1.988000s,140,31,0.221429,68.200012,308.000031,0.221429,0,25
9,17:05:07.039,test,Poke-Drill,1.658000s,117,28,0.239316,61.600014,257.399750,0.239317,0,25
10,17:05:07.790,test,Poke-Drill,0.490000s,35,19,0.542857,41.800007,77.000000,0.542857,0,17
11,17:05:35.361,test,Poke-Drill,1.055000s,75,19,0.253333,41.800007,164.999878,0.253334,0,15
12,17:05:36.836,test,Poke-Drill,1.114000s,79,29,0.367089,63.800014,173.799866,0.367089,0,25
13,17:05:37.677,test,Poke-Drill,0.473000s,34,19,0.558824,41.800007,74.800003,0.558824,0,25
14,17:05:39.891,test,Poke-Drill,1.846000s,130,38,0.292308,83.599991,285.999908,0.292308,0,25
15,17:05:41.548,test,Poke-Drill,1.286000s,91,29,0.318681,63.800014,200.199829,0.318682,0,25
16,17:05:42.917,test,Poke-Drill,0.996000s,71,25,0.352113,55.000011,156.199890,0.352113,0,25
17,17:05:43.705,test,Poke-Drill,0.415000s,30,19,0.633333,41.800007,66.000015,0.633333,0,25
18,17:05:45.076,test,Poke-Drill,0.999000s,71,37,0.521127,81.399994,156.199890,0.521127,0,25
19,17:05:47.299,test,Poke-Drill,2.069000s,146,33,0.226027,72.600006,321.200104,0.226027,0,9
20,17:05:48.035,test,Poke-Drill,0.375000s,27,19,0.703704,41.800007,59.400013,0.703704,0,25
21,17:05:49.931,test,Poke-Drill,1.543000s,109,28,0.256881,61.600014,239.799774,0.256881,0,23
22,17:05:50.546,test,Poke-Drill,0.256000s,19,19,1.000000,41.800007,41.800007,1.000000,0,25
23,17:05:51.517,test,Poke-Drill,0.598000s,43,22,0.511628,48.400009,94.599976,0.511628,0,24
24,17:05:53.876,test,Poke-Drill,1.998000s,141,40,0.283688,87.999985,310.200043,0.283688,0,25
25,17:05:58.734,test,Poke-Drill,4.483000s,315,74,0.234921,162.799881,693.002136,0.234920,0,25
26,17:06:01.246,test,Poke-Drill,2.198000s,155,35,0.225806,77.000000,341.000214,0.225806,0,20
27,17:06:45.107,test,Poke-Drill,0.828000s,59,23,0.389830,50.600010,129.799927,0.389831,0,25
28,17:06:46.044,test,Poke-Drill,0.570000s,41,22,0.536585,48.400009,90.199982,0.536586,0,25
29,17:06:47.805,test,Poke-Drill,1.389000s,98,22,0.224490,48.400009,215.599808,0.224490,0,25
30,17:06:48.645,test,Poke-Drill,0.471000s,34,19,0.558824,41.800007,74.800003,0.558824,0,25
31,17:06:49.770,test,Poke-Drill,1.098000s,78,19,0.243590,41.800007,171.599869,0.243590,0,0
32,17:06:51.337,test,Poke-Drill,1.204000s,85,26,0.305882,57.200012,186.999847,0.305883,0,25
33,17:06:52.246,test,Poke-Drill,0.541000s,39,19,0.487179,41.800007,85.799988,0.487180,0,24
34,17:06:52.974,test,Poke-Drill,0.370000s,27,19,0.703704,41.800007,59.400013,0.703704,0,25
35,17:06:53.659,test,Poke-Drill,0.313000s,23,19,0.826087,41.800007,50.600010,0.826087,0,25
36,17:06:54.562,test,Poke-Drill,0.532000s,38,19,0.500000,41.800007,83.599991,0.500000,0,25
37,17:06:57.290,test,Poke-Drill,2.358000s,166,43,0.259036,94.599976,365.200348,0.259036,0,25
38,17:06:59.104,test,Poke-Drill,1.444000s,102,33,0.323529,72.600006,224.399796,0.323530,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3196,1036,2279.17627,7031.396484,

Kills:,38
Deaths:,0
Fight Time:,43.933998
Time Remaining:,0.0
Avg TTK:,2.255634
Damage Done:,2279.17627
Total Overshots:,875
Damage Taken:,0.0
Hit Count:,1036
Miss Count:,2160
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,380.0
Scenario:,Voltaic AC 2 - canTS
Hash:,4d0c6db69473b467c9722a7a84e043aa
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,17:04:53.181
Pause Count:,3
Pause Duration:,68

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,319.387329
Resolution Scale:,100.0
