Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:49:58.637,Quaker Bot Long Strafes,LG,0.651000s,71,20,0.281690,100.000000,355.000000,0.281690,0,22
2,16:49:59.081,Quaker Bot Long Strafes,LG,0.189000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
3,16:49:59.550,Quaker Bot Long Strafes,LG,0.213000s,22,20,0.909091,100.000000,110.000000,0.909091,0,25
4,16:50:00.188,Quaker Bot Long Strafes,LG,0.381000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
5,16:50:00.637,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
6,16:50:01.085,Quaker Bot Long Strafes,LG,0.200000s,21,20,0.952381,100.000000,105.000000,0.952381,0,23
7,16:50:01.506,Quaker Bot Long Strafes,LG,0.191000s,20,20,1.000000,100.000000,100.000000,1.000000,0,22
8,16:50:01.948,Quaker Bot Long Strafes,LG,0.190000s,20,20,1.000000,100.000000,100.000000,1.000000,0,24
9,16:50:02.390,Quaker Bot Long Strafes,LG,0.187000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
10,16:50:03.009,Quaker Bot Long Strafes,LG,0.359000s,37,20,0.540541,100.000000,185.000000,0.540541,0,25
11,16:50:03.605,Quaker Bot Long Strafes,LG,0.409000s,42,31,0.738095,155.000000,210.000000,0.738095,0,17
12,16:50:04.049,Quaker Bot Long Strafes,LG,0.191000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
13,16:50:04.298,Quaker Bot Long Strafes,LG,0.229000s,24,22,0.916667,110.000000,120.000000,0.916667,0,0
14,16:50:04.740,Quaker Bot Long Strafes,LG,0.187000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
15,16:50:05.429,Quaker Bot Long Strafes,LG,0.432000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
16,16:50:05.901,Quaker Bot Long Strafes,LG,0.210000s,22,20,0.909091,100.000000,110.000000,0.909091,0,25
17,16:50:06.385,Quaker Bot Long Strafes,LG,0.243000s,25,20,0.800000,100.000000,125.000000,0.800000,0,23
18,16:50:07.389,Quaker Bot Long Strafes,LG,0.751000s,76,46,0.605263,230.000000,380.000000,0.605263,0,25
19,16:50:08.098,Quaker Bot Long Strafes,LG,0.449000s,46,20,0.434783,100.000000,230.000000,0.434783,0,25
20,16:50:08.579,Quaker Bot Long Strafes,LG,0.289000s,30,20,0.666667,100.000000,150.000000,0.666667,0,17
21,16:50:08.977,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,20
22,16:50:09.590,Quaker Bot Long Strafes,LG,0.359000s,37,23,0.621622,115.000000,185.000000,0.621622,0,25
23,16:50:10.152,Quaker Bot Long Strafes,LG,0.298000s,31,20,0.645161,100.000000,155.000000,0.645161,0,25
24,16:50:10.638,Quaker Bot Long Strafes,LG,0.262000s,27,20,0.740741,100.000000,135.000000,0.740741,0,21
25,16:50:11.078,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
26,16:50:11.726,Quaker Bot Long Strafes,LG,0.402000s,41,20,0.487805,100.000000,205.000000,0.487805,0,23
27,16:50:12.169,Quaker Bot Long Strafes,LG,0.191000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
28,16:50:12.647,Quaker Bot Long Strafes,LG,0.218000s,23,20,0.869565,100.000000,115.000000,0.869565,0,25
29,16:50:13.057,Quaker Bot Long Strafes,LG,0.211000s,22,20,0.909091,100.000000,110.000000,0.909091,0,11
30,16:50:13.287,Quaker Bot Long Strafes,LG,0.140000s,22,20,0.909091,100.000000,110.000000,0.909091,0,8
31,16:50:13.726,Quaker Bot Long Strafes,LG,0.191000s,20,20,1.000000,100.000000,100.000000,1.000000,0,24
32,16:50:14.158,Quaker Bot Long Strafes,LG,0.193000s,20,20,1.000000,100.000000,100.000000,1.000000,0,23
