Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:25:54.461,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
2,22:25:54.985,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
3,22:25:55.530,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
4,22:25:56.053,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
5,22:25:56.418,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
6,22:25:57.356,target,pistol,0.417000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
7,22:25:57.719,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
8,22:25:58.197,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
9,22:25:58.919,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
10,22:25:59.353,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
11,22:25:59.826,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
12,22:26:00.276,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
13,22:26:00.750,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
14,22:26:01.252,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
15,22:26:01.706,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
16,22:26:02.147,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
17,22:26:02.596,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
18,22:26:02.998,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
19,22:26:03.439,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
20,22:26:04.304,target,pistol,0.512000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
21,22:26:04.807,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
22,22:26:05.272,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
23,22:26:05.764,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
24,22:26:06.551,target,pistol,0.479000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
25,22:26:06.914,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
26,22:26:07.429,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
27,22:26:07.733,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
28,22:26:08.239,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
29,22:26:08.593,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
30,22:26:09.023,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
31,22:26:09.458,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
32,22:26:09.963,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
33,22:26:10.519,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
34,22:26:10.877,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
35,22:26:11.261,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
36,22:26:11.610,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
37,22:26:11.991,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
38,22:26:12.431,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
39,22:26:13.015,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
40,22:26:13.363,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
41,22:26:14.033,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
42,22:26:14.531,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
43,22:26:14.973,target,pistol,0.001000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
44,22:26:15.519,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
45,22:26:16.336,target,pistol,0.448000s,2,1,0.500000,25.000000,100.000000,0.250000,0,0
46,22:26:16.817,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
47,22:26:17.241,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
48,22:26:17.800,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
49,22:26:18.256,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
50,22:26:18.954,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
51,22:26:19.539,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
52,22:26:20.079,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
53,22:26:20.588,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
54,22:26:21.051,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
55,22:26:21.454,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
56,22:26:21.818,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
57,22:26:22.255,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
58,22:26:22.647,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
59,22:26:23.108,target,pistol,0.000000s,1,1,1.000000,25.000000,50.000000,0.500000,0,0
