Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:04:31.665,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
2,22:04:33.347,target,pistol,0.991000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
3,22:04:33.684,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
4,22:04:34.145,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
5,22:04:35.504,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
6,22:04:36.327,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
7,22:04:37.404,target,pistol,0.311000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
8,22:04:37.997,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
9,22:04:38.952,target,pistol,0.455000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
10,22:04:39.800,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
11,22:04:40.577,target,pistol,0.001000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
12,22:04:41.974,target,pistol,0.854000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
13,22:04:43.882,target,pistol,1.230000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
14,22:04:44.422,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
15,22:04:45.023,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
16,22:04:45.516,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
17,22:04:46.390,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
18,22:04:47.553,target,pistol,0.625000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
19,22:04:48.961,target,pistol,0.970000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
20,22:04:50.810,target,pistol,1.145000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
21,22:04:52.096,target,pistol,0.331000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
22,22:04:52.471,target,pistol,0.001000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
23,22:04:53.823,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
24,22:04:55.377,target,pistol,0.857000s,3,1,0.333333,100000.000000,600000.000000,0.166667,0,0
25,22:04:56.228,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
26,22:04:57.030,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
27,22:04:58.130,target,pistol,0.447000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
28,22:04:59.329,target,pistol,0.402000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
29,22:05:00.180,target,pistol,0.284000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
30,22:05:01.418,target,pistol,0.536000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
31,22:05:02.247,target,pistol,0.297000s,2,1,0.500000,100000.000000,400000.000000,0.250000,0,0
32,22:05:03.159,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
33,22:05:03.816,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
34,22:05:04.265,target,pistol,0.000000s,1,1,1.000000,100000.000000,200000.000000,0.500000,0,0
