Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,11:34:46.101,air1_close_long,Track Master 100,19.625000s,1961,1000,0.509944,1000.000000,1961.000000,0.509944,0,25
2,11:35:10.193,air1_close_long,Track Master 100,22.381001s,2232,1000,0.448029,1000.000000,2232.000000,0.448029,0,26
3,11:35:37.199,air1_close_long,Track Master 100,26.740002s,2539,1000,0.393856,1000.000000,2539.000000,0.393856,0,25
4,11:36:00.934,air1_close_long,Track Master 100,23.475000s,2254,1000,0.443656,1000.000000,2254.000000,0.443656,0,25
5,11:36:19.934,air1_close_long,Track Master 100,18.740002s,1728,1000,0.578704,1000.000000,1728.000000,0.578704,0,25
6,11:36:42.089,air1_close_long,Track Master 100,21.895000s,2048,1000,0.488281,1000.000000,2048.000000,0.488281,0,25
7,11:37:02.169,air1_close_long,Track Master 100,19.823002s,1839,1000,0.543774,1000.000000,1839.000000,0.543774,0,25
8,11:37:23.619,air1_close_long,Track Master 100,19.688002s,1970,1000,0.507614,1000.000000,1970.000000,0.507614,0,25
9,11:37:48.173,air1_close_long,Track Master 100,24.295002s,2293,1000,0.436110,1000.000000,2293.000000,0.436110,0,25
10,11:38:09.077,air1_close_long,Track Master 100,20.646002s,1919,1000,0.521105,1000.000000,1919.000000,0.521105,0,25
11,11:38:33.337,air1_close_long,Track Master 100,24.005001s,2265,1000,0.441501,1000.000000,2265.000000,0.441501,0,24
12,11:39:01.012,air1_close_long,Track Master 100,26.250002s,2625,1000,0.380952,1000.000000,2625.000000,0.380952,0,25
13,11:39:20.197,air1_close_long,Track Master 100,18.922001s,1803,1000,0.554631,1000.000000,1803.000000,0.554631,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,27889,13248,13248.0,27889.0,

Kills:,13
Deaths:,0
Fight Time:,286.484985
Time Remaining:,0.0
Avg TTK:,23.077623
Damage Done:,13248.0
Total Overshots:,325
Damage Taken:,0.0
Hit Count:,13248
Miss Count:,14641
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,13248.0
Scenario:,air close long strafes 5m
Hash:,f40f73d22500ad03f897aef8d69675b7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,11:34:25.795
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,184.386642
Resolution Scale:,100.0
