Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:17:16.333,air1_close_long,Track Master 100,15.368001s,1539,1000,0.649773,1000.000000,1539.000000,0.649773,0,25
2,15:17:39.473,air1_close_long,Track Master 100,22.880001s,2289,1000,0.436872,1000.000000,2289.000000,0.436872,0,25
3,15:18:03.884,air1_close_long,Track Master 100,24.150002s,2416,1000,0.413907,1000.000000,2416.000000,0.413907,0,25
4,15:18:20.624,air1_close_long,Track Master 100,16.476000s,1649,1000,0.606428,1000.000000,1649.000000,0.606428,0,25
5,15:18:38.393,air1_close_long,Track Master 100,17.512001s,1752,1000,0.570776,1000.000000,1752.000000,0.570776,0,25
6,15:18:55.704,air1_close_long,Track Master 100,17.048000s,1706,1000,0.586167,1000.000000,1706.000000,0.586167,0,25
7,15:19:15.454,air1_close_long,Track Master 100,19.493000s,1950,1000,0.512821,1000.000000,1950.000000,0.512821,0,25
8,15:19:37.256,air1_close_long,Track Master 100,21.540001s,2155,1000,0.464037,1000.000000,2155.000000,0.464037,0,25
9,15:20:01.187,air1_close_long,Track Master 100,23.674002s,2368,1000,0.422297,1000.000000,2368.000000,0.422297,0,25
10,15:20:20.434,air1_close_long,Track Master 100,18.992001s,1900,1000,0.526316,1000.000000,1900.000000,0.526316,0,25
11,15:20:39.925,air1_close_long,Track Master 100,19.228001s,1924,1000,0.519751,1000.000000,1924.000000,0.519751,0,25
12,15:21:00.586,air1_close_long,Track Master 100,20.402000s,2041,1000,0.489956,1000.000000,2041.000000,0.489956,0,25
13,15:21:23.893,air1_close_long,Track Master 100,23.052002s,2306,1000,0.433651,1000.000000,2306.000000,0.433651,0,25
14,15:21:44.647,air1_close_long,Track Master 100,20.489000s,2050,1000,0.487805,1000.000000,2050.000000,0.487805,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,29651,14784,14784.0,29651.0,

Kills:,14
Deaths:,0
Fight Time:,280.303986
Time Remaining:,0.0
Avg TTK:,21.42922
Damage Done:,14784.0
Total Overshots:,350
Damage Taken:,0.0
Hit Count:,14784
Miss Count:,14867
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,14784.0
Scenario:,air close long strafes 5m
Hash:,f40f73d22500ad03f897aef8d69675b7
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:17:00.705
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,191.562729
Resolution Scale:,100.0
