Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:20:52.742,air1_far_long,Track Master 100,17.039001s,1194,1000,0.837521,1000.000000,1194.000000,0.837521,0,25
2,22:21:12.263,air1_far_long,Track Master 100,19.151001s,1338,1000,0.747384,1000.000000,1338.000000,0.747384,0,25
3,22:21:30.917,air1_far_long,Track Master 100,18.287001s,1281,1000,0.780640,1000.000000,1281.000000,0.780640,0,25
4,22:21:49.507,air1_far_long,Track Master 100,18.216002s,1276,1000,0.783699,1000.000000,1276.000000,0.783699,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,5873,4569,4569.0,5873.0,

Kills:,4
Deaths:,0
Fight Time:,72.693001
Time Remaining:,0.0
Avg TTK:,30.612364
Damage Done:,4569.0
Total Overshots:,100
Damage Taken:,0.0
Hit Count:,4569
Miss Count:,1304
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,4569.0
Scenario:,air far long strafes %70
Hash:,e980227e40cede9849232acadee4b2fc
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:20:34.997
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,299.375824
Resolution Scale:,100.0
