Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:56:36.918,air1_far_long,Track Master 100,15.869000s,1588,1000,0.629723,1000.000000,1588.000000,0.629723,0,25
2,23:56:57.630,air1_far_long,Track Master 100,20.453001s,2046,1000,0.488759,1000.000000,2046.000000,0.488759,0,25
3,23:57:18.280,air1_far_long,Track Master 100,20.392000s,2040,1000,0.490196,1000.000000,2040.000000,0.490196,0,25
4,23:57:39.909,air1_far_long,Track Master 100,21.374001s,2138,1000,0.467727,1000.000000,2138.000000,0.467727,0,25
5,23:57:56.989,air1_far_long,Track Master 100,16.821001s,1683,1000,0.594177,1000.000000,1683.000000,0.594177,0,25
6,23:58:17.916,air1_far_long,Track Master 100,20.670000s,2068,1000,0.483559,1000.000000,2068.000000,0.483559,0,25
7,23:58:41.036,air1_far_long,Track Master 100,22.858002s,2287,1000,0.437254,1000.000000,2287.000000,0.437254,0,25
8,23:59:00.861,air1_far_long,Track Master 100,19.562000s,1957,1000,0.510986,1000.000000,1957.000000,0.510986,0,25
9,23:59:20.646,air1_far_long,Track Master 100,19.530001s,1954,1000,0.511771,1000.000000,1954.000000,0.511771,0,25
10,23:59:40.076,air1_far_long,Track Master 100,19.168001s,1918,1000,0.521376,1000.000000,1918.000000,0.521376,0,25
11,00:00:00.919,air1_far_long,Track Master 100,20.579000s,2059,1000,0.485673,1000.000000,2059.000000,0.485673,0,25
12,00:00:20.886,air1_far_long,Track Master 100,19.711000s,1972,1000,0.507099,1000.000000,1972.000000,0.507099,0,25
13,00:00:39.437,air1_far_long,Track Master 100,18.288000s,1830,1000,0.546448,1000.000000,1830.000000,0.546448,0,25
14,00:01:01.111,air1_far_long,Track Master 100,21.409000s,2142,1000,0.466853,1000.000000,2142.000000,0.466853,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,29630,14962,14962.0,29630.0,

Kills:,14
Deaths:,0
Fight Time:,276.68399
Time Remaining:,0.0
Avg TTK:,21.42922
Damage Done:,14962.0
Total Overshots:,350
Damage Taken:,0.0
Hit Count:,14962
Miss Count:,14668
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,947.869446
MBS Points:,0.0
Score:,14962.0
Scenario:,air far long strafes 5m inf lives
Hash:,5bd0f06e64e6c1cb9e9755da3a74c45c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,23:56:20.586
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,198.672318
Resolution Scale:,100.0
