Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:10:03.812,air1_far_long,Track Master 100,15.002001s,1502,1000,0.665779,1000.000000,1502.000000,0.665779,0,25
2,15:10:20.710,air1_far_long,Track Master 100,16.639000s,1665,1000,0.600601,1000.000000,1665.000000,0.600601,0,25
3,15:10:39.663,air1_far_long,Track Master 100,18.694000s,1870,1000,0.534759,1000.000000,1870.000000,0.534759,0,25
4,15:10:57.222,air1_far_long,Track Master 100,17.302000s,1731,1000,0.577701,1000.000000,1731.000000,0.577701,0,25
5,15:11:16.479,air1_far_long,Track Master 100,18.999001s,1901,1000,0.526039,1000.000000,1901.000000,0.526039,0,25
6,15:11:35.262,air1_far_long,Track Master 100,18.522001s,1853,1000,0.539665,1000.000000,1853.000000,0.539665,0,25
7,15:11:53.621,air1_far_long,Track Master 100,18.099001s,1811,1000,0.552181,1000.000000,1811.000000,0.552181,0,25
8,15:12:13.706,air1_far_long,Track Master 100,19.824001s,1983,1000,0.504286,1000.000000,1983.000000,0.504286,0,26
9,15:12:31.721,air1_far_long,Track Master 100,17.752001s,1776,1000,0.563063,1000.000000,1776.000000,0.563063,0,25
10,15:12:49.826,air1_far_long,Track Master 100,17.849001s,1786,1000,0.559910,1000.000000,1786.000000,0.559910,0,25
11,15:13:08.889,air1_far_long,Track Master 100,18.801001s,1881,1000,0.531632,1000.000000,1881.000000,0.531632,0,25
12,15:13:29.740,air1_far_long,Track Master 100,20.588001s,2060,1000,0.485437,1000.000000,2060.000000,0.485437,0,25
13,15:13:48.840,air1_far_long,Track Master 100,18.842001s,1885,1000,0.530504,1000.000000,1885.000000,0.530504,0,25
14,15:14:07.693,air1_far_long,Track Master 100,18.592001s,1860,1000,0.537634,1000.000000,1860.000000,0.537634,0,25
15,15:14:25.719,air1_far_long,Track Master 100,17.769001s,1778,1000,0.562430,1000.000000,1778.000000,0.562430,0,25
16,15:14:44.742,air1_far_long,Track Master 100,18.764000s,1877,1000,0.532765,1000.000000,1877.000000,0.532765,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,29600,16179,16179.0,29600.0,

Kills:,16
Deaths:,0
Fight Time:,292.037994
Time Remaining:,0.0
Avg TTK:,18.750568
Damage Done:,16179.0
Total Overshots:,401
Damage Taken:,0.0
Hit Count:,16179
Miss Count:,13421
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,16179.0
Scenario:,air far long strafes 5m inf lives
Hash:,5bd0f06e64e6c1cb9e9755da3a74c45c
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:09:48.550
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,182.982941
Resolution Scale:,100.0
