Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:23:42.380,air1_far_short,test1,1.353000s,138,40,0.289855,40.000000,138.000000,0.289855,0,25
2,16:23:44.048,air1_far_short,test1,1.407000s,142,40,0.281690,40.000000,142.000000,0.281690,0,25
3,16:23:45.303,air1_far_short,test1,0.993000s,100,49,0.490000,49.000000,100.000000,0.490000,0,25
4,16:23:46.101,air1_far_short,test1,0.540000s,55,31,0.563636,31.000000,55.000000,0.563636,0,25
5,16:23:47.461,air1_far_short,test1,1.101000s,111,40,0.360360,40.000000,111.000000,0.360360,0,25
6,16:23:50.383,air1_far_short,test1,2.662000s,267,44,0.164794,44.000000,267.000000,0.164794,0,25
7,16:23:51.540,air1_far_short,test1,0.899000s,91,36,0.395604,36.000000,91.000000,0.395604,0,25
8,16:23:52.927,air1_far_short,test1,1.125000s,114,40,0.350877,40.000000,114.000000,0.350877,0,25
9,16:23:55.104,air1_far_short,test1,1.913000s,192,40,0.208333,40.000000,192.000000,0.208333,0,25
10,16:23:57.072,air1_far_short,test1,1.709000s,172,40,0.232558,40.000000,172.000000,0.232558,0,25
11,16:23:59.153,air1_far_short,test1,1.823000s,183,40,0.218579,40.000000,183.000000,0.218579,0,25
12,16:24:01.396,air1_far_short,test1,1.982000s,199,40,0.201005,40.000000,199.000000,0.201005,0,25
13,16:24:02.632,air1_far_short,test1,0.977000s,99,40,0.404040,40.000000,99.000000,0.404040,0,25
14,16:24:04.483,air1_far_short,test1,1.593000s,160,55,0.343750,55.000000,160.000000,0.343750,0,25
15,16:24:05.460,air1_far_short,test1,0.719000s,73,25,0.342466,25.000000,73.000000,0.342466,0,25
16,16:24:07.339,air1_far_short,test1,1.618000s,163,40,0.245399,40.000000,163.000000,0.245399,0,25
17,16:24:08.785,air1_far_short,test1,1.181000s,119,40,0.336134,40.000000,119.000000,0.336134,0,25
18,16:24:10.344,air1_far_short,test1,1.301000s,131,40,0.305344,40.000000,131.000000,0.305344,0,25
19,16:24:11.632,air1_far_short,test1,1.030000s,104,40,0.384615,40.000000,104.000000,0.384615,0,25
20,16:24:13.286,air1_far_short,test1,1.396000s,140,40,0.285714,40.000000,140.000000,0.285714,0,25
21,16:24:14.566,air1_far_short,test1,1.023000s,103,40,0.388350,40.000000,103.000000,0.388350,0,25
22,16:24:16.664,air1_far_short,test1,1.842000s,185,40,0.216216,40.000000,185.000000,0.216216,0,25
23,16:24:18.435,air1_far_short,test1,1.508000s,152,40,0.263158,40.000000,152.000000,0.263158,0,25
24,16:24:20.604,air1_far_short,test1,1.912000s,192,40,0.208333,40.000000,192.000000,0.208333,0,25
25,16:24:22.447,air1_far_short,test1,1.581000s,159,40,0.251572,40.000000,159.000000,0.251572,0,25
26,16:24:24.643,air1_far_short,test1,1.938000s,195,40,0.205128,40.000000,195.000000,0.205128,0,25
27,16:24:26.086,air1_far_short,test1,1.180000s,119,42,0.352941,42.000000,119.000000,0.352941,0,25
28,16:24:27.881,air1_far_short,test1,1.692000s,170,38,0.223529,38.000000,170.000000,0.223529,0,9
29,16:24:29.312,air1_far_short,test1,1.332000s,134,40,0.298507,40.000000,134.000000,0.298507,0,9
30,16:24:31.006,air1_far_short,test1,1.438000s,145,40,0.275862,40.000000,145.000000,0.275862,0,25
31,16:24:33.008,air1_far_short,test1,1.740000s,175,40,0.228571,40.000000,175.000000,0.228571,0,25
32,16:24:34.596,air1_far_short,test1,1.328000s,134,40,0.298507,40.000000,134.000000,0.298507,0,25
33,16:24:36.326,air1_far_short,test1,1.472000s,148,40,0.270270,40.000000,148.000000,0.270270,0,25
34,16:24:38.467,air1_far_short,test1,1.882000s,189,40,0.211640,40.000000,189.000000,0.211640,0,25
35,16:24:39.546,air1_far_short,test1,0.820000s,83,40,0.481928,40.000000,83.000000,0.481928,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
test1,5157,1438,1438.0,5157.0,

Kills:,35
Deaths:,0
Fight Time:,50.009998
Time Remaining:,0.0
Avg TTK:,1.714276
Damage Done:,1438.0
Total Overshots:,843
Damage Taken:,0.0
Hit Count:,1438
Miss Count:,3719
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,35.0
Scenario:,airTargetSwitch
Hash:,3d3fa3ddc3487ddebbe8c78b46434536
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:23:40.765
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,198.512787
Resolution Scale:,100.0
