Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:25:07.388,air1_far_short,test1,0.882000s,91,40,0.439560,40.000000,91.000000,0.439560,0,25
2,16:25:08.834,air1_far_short,test1,1.181000s,119,40,0.336134,40.000000,119.000000,0.336134,0,25
3,16:25:09.961,air1_far_short,test1,0.868000s,88,40,0.454545,40.000000,88.000000,0.454545,0,25
4,16:25:11.640,air1_far_short,test1,1.418000s,143,40,0.279720,40.000000,143.000000,0.279720,0,25
5,16:25:12.835,air1_far_short,test1,0.931000s,94,40,0.425532,40.000000,94.000000,0.425532,0,25
6,16:25:15.325,air1_far_short,test1,2.230000s,224,40,0.178571,40.000000,224.000000,0.178571,0,25
7,16:25:17.250,air1_far_short,test1,1.666000s,168,40,0.238095,40.000000,168.000000,0.238095,0,25
8,16:25:19.324,air1_far_short,test1,1.810000s,182,40,0.219780,40.000000,182.000000,0.219780,0,25
9,16:25:20.841,air1_far_short,test1,1.258000s,127,40,0.314961,40.000000,127.000000,0.314961,0,25
10,16:25:22.693,air1_far_short,test1,1.589000s,160,40,0.250000,40.000000,160.000000,0.250000,0,25
11,16:25:23.579,air1_far_short,test1,0.631000s,64,40,0.625000,40.000000,64.000000,0.625000,0,25
12,16:25:26.110,air1_far_short,test1,2.269000s,228,40,0.175439,40.000000,228.000000,0.175439,0,25
13,16:25:27.783,air1_far_short,test1,1.406000s,142,40,0.281690,40.000000,142.000000,0.281690,0,25
14,16:25:29.532,air1_far_short,test1,1.491000s,150,40,0.266667,40.000000,150.000000,0.266667,0,25
15,16:25:32.003,air1_far_short,test1,2.214000s,222,40,0.180180,40.000000,222.000000,0.180180,0,25
16,16:25:34.731,air1_far_short,test1,2.470000s,248,40,0.161290,40.000000,248.000000,0.161290,0,25
17,16:25:36.370,air1_far_short,test1,1.380000s,139,40,0.287770,40.000000,139.000000,0.287770,0,25
18,16:25:37.484,air1_far_short,test1,0.848000s,86,40,0.465116,40.000000,86.000000,0.465116,0,25
19,16:25:39.150,air1_far_short,test1,1.408000s,142,40,0.281690,40.000000,142.000000,0.281690,0,25
20,16:25:41.542,air1_far_short,test1,2.127000s,214,40,0.186916,40.000000,214.000000,0.186916,0,25
21,16:25:43.322,air1_far_short,test1,1.522000s,153,40,0.261438,40.000000,153.000000,0.261438,0,25
22,16:25:46.132,air1_far_short,test1,2.555000s,256,40,0.156250,40.000000,256.000000,0.156250,0,25
23,16:25:49.430,air1_far_short,test1,3.042000s,305,40,0.131148,40.000000,305.000000,0.131148,0,25
24,16:25:51.560,air1_far_short,test1,1.865000s,188,40,0.212766,40.000000,188.000000,0.212766,0,25
25,16:25:53.923,air1_far_short,test1,2.100000s,211,40,0.189573,40.000000,211.000000,0.189573,0,25
26,16:25:55.904,air1_far_short,test1,1.721000s,173,40,0.231214,40.000000,173.000000,0.231214,0,25
27,16:25:57.683,air1_far_short,test1,1.519000s,153,40,0.261438,40.000000,153.000000,0.261438,0,25
28,16:26:01.783,air1_far_short,test1,3.842000s,385,43,0.111688,43.000000,385.000000,0.111688,0,25
29,16:26:03.622,air1_far_short,test1,1.583000s,159,37,0.232704,37.000000,159.000000,0.232704,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
test1,5276,1190,1190.0,5276.0,

Kills:,29
Deaths:,0
Fight Time:,49.826
Time Remaining:,0.0
Avg TTK:,2.068954
Damage Done:,1190.0
Total Overshots:,725
Damage Taken:,0.0
Hit Count:,1190
Miss Count:,4086
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,29.0
Scenario:,airTargetSwitch
Hash:,3d3fa3ddc3487ddebbe8c78b46434536
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:25:06.246
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,195.612808
Resolution Scale:,100.0
