Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:26:18.639,air1_far_short,test1,1.067000s,110,40,0.363636,40.000000,110.000000,0.363636,0,25
2,16:26:20.903,air1_far_short,test1,1.998000s,201,40,0.199005,40.000000,201.000000,0.199005,0,25
3,16:26:22.895,air1_far_short,test1,1.734000s,174,48,0.275862,48.000000,174.000000,0.275862,0,25
4,16:26:25.333,air1_far_short,test1,2.178000s,219,32,0.146119,32.000000,219.000000,0.146119,0,25
5,16:26:27.381,air1_far_short,test1,1.793000s,180,40,0.222222,40.000000,180.000000,0.222222,0,25
6,16:26:29.497,air1_far_short,test1,1.850000s,186,40,0.215054,40.000000,186.000000,0.215054,0,25
7,16:26:30.704,air1_far_short,test1,0.946000s,96,40,0.416667,40.000000,96.000000,0.416667,0,25
8,16:26:31.653,air1_far_short,test1,0.692000s,70,40,0.571429,40.000000,70.000000,0.571429,0,25
9,16:26:33.560,air1_far_short,test1,1.647000s,166,40,0.240964,40.000000,166.000000,0.240964,0,25
10,16:26:34.522,air1_far_short,test1,0.703000s,71,40,0.563380,40.000000,71.000000,0.563380,0,25
11,16:26:35.530,air1_far_short,test1,0.747000s,76,40,0.526316,40.000000,76.000000,0.526316,0,25
12,16:26:36.761,air1_far_short,test1,0.968000s,98,40,0.408163,40.000000,98.000000,0.408163,0,25
13,16:26:38.670,air1_far_short,test1,1.648000s,166,40,0.240964,40.000000,166.000000,0.240964,0,24
14,16:26:40.282,air1_far_short,test1,1.359000s,137,40,0.291971,40.000000,137.000000,0.291971,0,25
15,16:26:42.693,air1_far_short,test1,2.147000s,216,40,0.185185,40.000000,216.000000,0.185185,0,25
16,16:26:44.665,air1_far_short,test1,1.709000s,172,40,0.232558,40.000000,172.000000,0.232558,0,25
17,16:26:46.723,air1_far_short,test1,1.800000s,181,40,0.220994,40.000000,181.000000,0.220994,0,25
18,16:26:49.415,air1_far_short,test1,2.431000s,244,40,0.163934,40.000000,244.000000,0.163934,0,25
19,16:26:52.413,air1_far_short,test1,2.742000s,275,40,0.145455,40.000000,275.000000,0.145455,0,25
20,16:26:56.334,air1_far_short,test1,3.664000s,367,40,0.108992,40.000000,367.000000,0.108992,0,25
21,16:26:57.653,air1_far_short,test1,1.061000s,107,40,0.373832,40.000000,107.000000,0.373832,0,25
22,16:26:59.866,air1_far_short,test1,1.952000s,196,40,0.204082,40.000000,196.000000,0.204082,0,25
23,16:27:01.766,air1_far_short,test1,1.642000s,165,40,0.242424,40.000000,165.000000,0.242424,0,25
24,16:27:03.503,air1_far_short,test1,1.477000s,149,40,0.268456,40.000000,149.000000,0.268456,0,25
25,16:27:04.742,air1_far_short,test1,0.980000s,99,40,0.404040,40.000000,99.000000,0.404040,0,25
26,16:27:07.390,air1_far_short,test1,2.387000s,240,40,0.166667,40.000000,240.000000,0.166667,0,25
27,16:27:09.575,air1_far_short,test1,1.920000s,193,40,0.207254,40.000000,193.000000,0.207254,0,25
28,16:27:11.365,air1_far_short,test1,1.531000s,154,40,0.259740,40.000000,154.000000,0.259740,0,25
29,16:27:12.131,air1_far_short,test1,0.639000s,65,43,0.661538,43.000000,65.000000,0.661538,0,11
30,16:27:13.862,air1_far_short,test1,1.479000s,149,37,0.248322,37.000000,149.000000,0.248322,0,25
31,16:27:15.944,air1_far_short,test1,1.816000s,183,46,0.251366,46.000000,183.000000,0.251366,0,25
32,16:27:17.300,air1_far_short,test1,1.230000s,124,34,0.274194,34.000000,124.000000,0.274194,0,12

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
test1,5229,1280,1280.0,5229.0,

Kills:,32
Deaths:,0
Fight Time:,51.937
Time Remaining:,0.0
Avg TTK:,1.874989
Damage Done:,1280.0
Total Overshots:,772
Damage Taken:,0.0
Hit Count:,1280
Miss Count:,3949
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,32.0
Scenario:,airTargetSwitch
Hash:,3d3fa3ddc3487ddebbe8c78b46434536
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,16:26:17.310
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,195.313568
Resolution Scale:,100.0
