Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,23:15:44.140,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
2,23:15:44.788,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
3,23:15:45.329,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
4,23:15:45.854,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
5,23:15:46.490,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
6,23:15:46.963,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
7,23:15:47.573,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
8,23:15:49.052,Quaker Bot Long Strafes,pistol,0.918000s,3,1,0.333333,100.000000,600.000000,0.166667,0,0
9,23:15:49.511,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
10,23:15:50.406,Quaker Bot Long Strafes,pistol,0.366000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
11,23:15:50.999,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
12,23:15:51.560,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
13,23:15:51.839,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
14,23:15:52.517,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
15,23:15:52.988,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
16,23:15:53.431,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
17,23:15:53.956,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
18,23:15:54.731,Quaker Bot Long Strafes,pistol,0.283000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
19,23:15:55.060,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
20,23:15:55.901,Quaker Bot Long Strafes,pistol,0.317000s,2,1,0.500000,100.000000,400.000000,0.250000,0,0
21,23:15:56.362,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
22,23:15:57.202,Quaker Bot Long Strafes,pistol,0.000000s,1,1,1.000000,100.000000,200.000000,0.500000,0,0
