Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:10:02.734,Quaker Bot Long Strafes,LG,0.185000s,20,20,1.000000,100.000000,100.000000,1.000000,0,10
2,22:10:03.660,Quaker Bot Long Strafes,LG,0.386000s,40,20,0.500000,100.000000,200.000000,0.500000,0,4
3,22:10:04.327,Quaker Bot Long Strafes,LG,0.205000s,22,20,0.909091,100.000000,110.000000,0.909091,0,9
4,22:10:04.937,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,5
5,22:10:05.505,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,9
6,22:10:06.245,Quaker Bot Long Strafes,LG,0.187000s,20,20,1.000000,100.000000,100.000000,1.000000,0,7
7,22:10:06.930,Quaker Bot Long Strafes,LG,0.199000s,21,20,0.952381,100.000000,105.000000,0.952381,0,12
8,22:10:07.550,Quaker Bot Long Strafes,LG,0.208000s,22,20,0.909091,100.000000,110.000000,0.909091,0,8
9,22:10:08.088,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,11
10,22:10:08.667,Quaker Bot Long Strafes,LG,0.235000s,25,20,0.800000,100.000000,125.000000,0.800000,0,10
11,22:10:09.216,Quaker Bot Long Strafes,LG,0.187000s,20,20,1.000000,100.000000,100.000000,1.000000,0,14
12,22:10:09.864,Quaker Bot Long Strafes,LG,0.208000s,22,20,0.909091,100.000000,110.000000,0.909091,0,25
13,22:10:10.546,Quaker Bot Long Strafes,LG,0.498000s,51,20,0.392157,100.000000,255.000000,0.392157,0,17
14,22:10:11.620,Quaker Bot Long Strafes,LG,0.822000s,83,35,0.421687,175.000000,415.000000,0.421687,0,25
15,22:10:12.800,Quaker Bot Long Strafes,LG,0.998000s,101,23,0.227723,115.000000,505.000000,0.227723,0,16
16,22:10:13.057,Quaker Bot Long Strafes,LG,0.005000s,2,2,1.000000,10.000000,10.000000,1.000000,0,25
17,22:10:13.633,Quaker Bot Long Strafes,LG,0.312000s,32,20,0.625000,100.000000,160.000000,0.625000,0,25
18,22:10:14.167,Quaker Bot Long Strafes,LG,0.401000s,41,20,0.487805,100.000000,205.000000,0.487805,0,12
19,22:10:14.612,Quaker Bot Long Strafes,LG,0.192000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
20,22:10:15.317,Quaker Bot Long Strafes,LG,0.445000s,45,20,0.444444,100.000000,225.000000,0.444444,0,26
21,22:10:15.903,Quaker Bot Long Strafes,LG,0.321000s,33,20,0.606061,100.000000,165.000000,0.606061,0,25
22,22:10:16.644,Quaker Bot Long Strafes,LG,0.480000s,49,20,0.408163,100.000000,245.000000,0.408163,0,25
23,22:10:17.394,Quaker Bot Long Strafes,LG,0.492000s,50,20,0.400000,100.000000,250.000000,0.400000,0,25
24,22:10:18.133,Quaker Bot Long Strafes,LG,0.479000s,49,20,0.408163,100.000000,245.000000,0.408163,0,25
25,22:10:19.141,Quaker Bot Long Strafes,LG,0.750000s,76,20,0.263158,100.000000,380.000000,0.263158,0,25
26,22:10:19.837,Quaker Bot Long Strafes,LG,0.440000s,45,20,0.444444,100.000000,225.000000,0.444444,0,25
27,22:10:20.406,Quaker Bot Long Strafes,LG,0.372000s,38,20,0.526316,100.000000,190.000000,0.526316,0,18
28,22:10:21.035,Quaker Bot Long Strafes,LG,0.375000s,38,20,0.526316,100.000000,190.000000,0.526316,0,25
29,22:10:21.670,Quaker Bot Long Strafes,LG,0.377000s,39,20,0.512821,100.000000,195.000000,0.512821,0,25
30,22:10:22.341,Quaker Bot Long Strafes,LG,0.490000s,50,20,0.400000,100.000000,250.000000,0.400000,0,16
31,22:10:22.777,Quaker Bot Long Strafes,LG,0.185000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
32,22:10:23.499,Quaker Bot Long Strafes,LG,0.461000s,47,20,0.425532,100.000000,235.000000,0.425532,0,25
33,22:10:24.473,Quaker Bot Long Strafes,LG,0.710000s,72,20,0.277778,100.000000,360.000000,0.277778,0,25
34,22:10:25.149,Quaker Bot Long Strafes,LG,0.417000s,43,20,0.465116,100.000000,215.000000,0.465116,0,25
35,22:10:25.841,Quaker Bot Long Strafes,LG,0.432000s,44,20,0.454545,100.000000,220.000000,0.454545,0,25
36,22:10:26.600,Quaker Bot Long Strafes,LG,0.502000s,51,20,0.392157,100.000000,255.000000,0.392157,0,25
37,22:10:27.323,Quaker Bot Long Strafes,LG,0.458000s,47,20,0.425532,100.000000,235.000000,0.425532,0,25
38,22:10:28.019,Quaker Bot Long Strafes,LG,0.438000s,45,20,0.444444,100.000000,225.000000,0.444444,0,25
39,22:10:28.778,Quaker Bot Long Strafes,LG,0.538000s,55,20,0.363636,100.000000,275.000000,0.363636,0,20
40,22:10:29.420,Quaker Bot Long Strafes,LG,0.391000s,40,20,0.500000,100.000000,200.000000,0.500000,0,25
41,22:10:29.989,Quaker Bot Long Strafes,LG,0.366000s,38,20,0.526316,100.000000,190.000000,0.526316,0,18
42,22:10:30.743,Quaker Bot Long Strafes,LG,0.500000s,51,20,0.392157,100.000000,255.000000,0.392157,0,25
43,22:10:31.338,Quaker Bot Long Strafes,LG,0.338000s,35,20,0.571429,100.000000,175.000000,0.571429,0,25
44,22:10:32.562,Quaker Bot Long Strafes,LG,0.962000s,97,36,0.371134,180.000000,485.000000,0.371134,0,25
45,22:10:32.971,Quaker Bot Long Strafes,LG,0.150000s,16,4,0.250000,20.000000,80.000000,0.250000,0,25
46,22:10:33.498,Quaker Bot Long Strafes,LG,0.279000s,29,20,0.689655,100.000000,145.000000,0.689655,0,23
47,22:10:34.101,Quaker Bot Long Strafes,LG,0.348000s,36,20,0.555556,100.000000,180.000000,0.555556,0,25
48,22:10:34.732,Quaker Bot Long Strafes,LG,0.368000s,38,20,0.526316,100.000000,190.000000,0.526316,0,25
49,22:10:35.384,Quaker Bot Long Strafes,LG,0.459000s,47,20,0.425532,100.000000,235.000000,0.425532,0,18
50,22:10:36.114,Quaker Bot Long Strafes,LG,0.456000s,47,20,0.425532,100.000000,235.000000,0.425532,0,24
51,22:10:36.556,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
52,22:10:37.266,Quaker Bot Long Strafes,LG,0.453000s,46,20,0.434783,100.000000,230.000000,0.434783,0,25
53,22:10:37.915,Quaker Bot Long Strafes,LG,0.391000s,40,20,0.500000,100.000000,200.000000,0.500000,0,25
54,22:10:38.765,Quaker Bot Long Strafes,LG,0.589000s,60,20,0.333333,100.000000,300.000000,0.333333,0,25
55,22:10:39.334,Quaker Bot Long Strafes,LG,0.308000s,32,20,0.625000,100.000000,160.000000,0.625000,0,24
56,22:10:40.004,Quaker Bot Long Strafes,LG,0.418000s,43,20,0.465116,100.000000,215.000000,0.465116,0,24
57,22:10:40.444,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
58,22:10:41.074,Quaker Bot Long Strafes,LG,0.367000s,38,20,0.526316,100.000000,190.000000,0.526316,0,25
59,22:10:41.532,Quaker Bot Long Strafes,LG,0.287000s,30,20,0.666667,100.000000,150.000000,0.666667,0,15
60,22:10:41.964,Quaker Bot Long Strafes,LG,0.207000s,22,20,0.909091,100.000000,110.000000,0.909091,0,21
61,22:10:42.404,Quaker Bot Long Strafes,LG,0.188000s,20,20,1.000000,100.000000,100.000000,1.000000,0,25
