Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:23:36.948,Pigeon,LG,0.917000s,18,5,0.277778,30.000000,108.000000,0.277778,0,2
2,15:23:38.419,Pigeon,LG,0.970000s,19,6,0.315789,36.000000,114.000000,0.315789,0,3
3,15:23:38.987,Pigeon,LG,0.270000s,6,4,0.666667,24.000000,36.000000,0.666667,0,5
4,15:23:40.123,Pigeon,LG,0.815000s,16,5,0.312500,30.000000,96.000000,0.312500,0,5
5,15:23:41.555,Pigeon,LG,1.248000s,24,5,0.208333,30.000000,144.000000,0.208333,0,2
6,15:23:42.070,Pigeon,LG,0.219000s,5,5,1.000000,30.000000,30.000000,1.000000,0,5
7,15:23:42.885,Pigeon,LG,0.489000s,10,5,0.500000,30.000000,60.000000,0.500000,0,5
8,15:23:44.017,Pigeon,LG,0.812000s,16,5,0.312500,30.000000,96.000000,0.312500,0,5
9,15:23:44.828,Pigeon,LG,0.376000s,8,5,0.625000,30.000000,48.000000,0.625000,0,3
10,15:23:45.838,Pigeon,LG,0.540000s,11,5,0.454545,30.000000,66.000000,0.454545,0,4
11,15:23:46.904,Pigeon,LG,0.864000s,17,5,0.294118,30.000000,102.000000,0.294118,0,1
12,15:23:47.666,Pigeon,LG,0.532000s,9,5,0.555556,30.000000,54.000000,0.555556,0,4
13,15:23:48.681,Pigeon,LG,0.699000s,14,6,0.428571,36.000000,84.000000,0.428571,0,4
14,15:23:49.360,Pigeon,LG,0.379000s,8,4,0.500000,24.000000,48.000000,0.500000,0,5
15,15:23:50.177,Pigeon,LG,0.498000s,9,5,0.555556,30.000000,54.000000,0.555556,0,5
16,15:23:51.260,Pigeon,LG,0.759000s,15,8,0.533333,48.000000,90.000000,0.533333,0,5
17,15:23:51.641,Pigeon,LG,0.056000s,2,2,1.000000,12.000000,12.000000,1.000000,0,5
18,15:23:52.340,Pigeon,LG,0.379000s,8,5,0.625000,30.000000,48.000000,0.625000,0,5
19,15:23:53.043,Pigeon,LG,0.379000s,8,5,0.625000,30.000000,48.000000,0.625000,0,5
20,15:23:54.315,Pigeon,LG,1.079000s,21,6,0.285714,36.000000,126.000000,0.285714,0,2
21,15:23:54.694,Pigeon,LG,0.165000s,4,4,1.000000,24.000000,24.000000,1.000000,0,3
22,15:23:55.483,Pigeon,LG,0.490000s,10,5,0.500000,30.000000,60.000000,0.500000,0,5
23,15:23:57.234,Pigeon,LG,1.461000s,28,5,0.178571,30.000000,168.000000,0.178571,0,4
24,15:23:58.278,Pigeon,LG,0.593000s,12,5,0.416667,30.000000,72.000000,0.416667,0,4
25,15:23:58.847,Pigeon,LG,0.272000s,6,5,0.833333,30.000000,36.000000,0.833333,0,5
26,15:23:59.659,Pigeon,LG,0.489000s,10,5,0.500000,30.000000,60.000000,0.500000,0,5
27,15:24:00.260,Pigeon,LG,0.273000s,6,5,0.833333,30.000000,36.000000,0.833333,0,5
28,15:24:01.205,Pigeon,LG,0.652000s,13,5,0.384615,30.000000,78.000000,0.384615,0,4
29,15:24:01.715,Pigeon,LG,0.214000s,5,5,1.000000,30.000000,30.000000,1.000000,0,5
30,15:24:02.637,Pigeon,LG,0.594000s,12,5,0.416667,30.000000,72.000000,0.416667,0,5
31,15:24:03.827,Pigeon,LG,0.866000s,17,5,0.294118,30.000000,102.000000,0.294118,0,5
32,15:24:04.693,Pigeon,LG,0.540000s,11,5,0.454545,30.000000,66.000000,0.454545,0,5
33,15:24:05.455,Pigeon,LG,0.434000s,9,5,0.555556,30.000000,54.000000,0.555556,0,5
34,15:24:06.262,Pigeon,LG,0.486000s,10,5,0.500000,30.000000,60.000000,0.500000,0,5
35,15:24:06.861,Pigeon,LG,0.271000s,6,5,0.833333,30.000000,36.000000,0.833333,0,5
36,15:24:07.672,Pigeon,LG,0.487000s,10,5,0.500000,30.000000,60.000000,0.500000,0,5
37,15:24:08.238,Pigeon,LG,0.379000s,8,5,0.625000,30.000000,48.000000,0.625000,0,2
38,15:24:08.754,Pigeon,LG,0.217000s,5,5,1.000000,30.000000,30.000000,1.000000,0,5
39,15:24:09.674,Pigeon,LG,0.594000s,12,5,0.416667,30.000000,72.000000,0.416667,0,5
40,15:24:10.618,Pigeon,LG,0.646000s,13,5,0.384615,30.000000,78.000000,0.384615,0,4
41,15:24:11.294,Pigeon,LG,0.380000s,8,5,0.625000,30.000000,48.000000,0.625000,0,5
42,15:24:12.377,Pigeon,LG,0.758000s,15,5,0.333333,30.000000,90.000000,0.333333,0,5
43,15:24:13.056,Pigeon,LG,0.379000s,8,5,0.625000,30.000000,48.000000,0.625000,0,4
44,15:24:14.143,Pigeon,LG,0.646000s,13,5,0.384615,30.000000,78.000000,0.384615,0,1
45,15:24:14.979,Pigeon,LG,0.377000s,8,5,0.625000,30.000000,48.000000,0.625000,0,2
46,15:24:15.571,Pigeon,LG,0.323000s,7,5,0.714286,30.000000,42.000000,0.714286,0,2
47,15:24:16.229,Pigeon,LG,0.375000s,8,5,0.625000,30.000000,48.000000,0.625000,0,2
48,15:24:17.279,Pigeon,LG,0.591000s,12,5,0.416667,30.000000,72.000000,0.416667,0,5
49,15:24:18.233,Pigeon,LG,0.374000s,8,5,0.625000,30.000000,48.000000,0.625000,0,1
50,15:24:19.176,Pigeon,LG,0.430000s,9,7,0.777778,42.000000,54.000000,0.777778,0,3
51,15:24:19.712,Pigeon,LG,0.323000s,7,3,0.428571,18.000000,42.000000,0.428571,0,3
52,15:24:21.019,Pigeon,LG,0.700000s,14,5,0.357143,30.000000,84.000000,0.357143,0,3
53,15:24:22.566,Pigeon,LG,1.076000s,21,5,0.238095,30.000000,126.000000,0.238095,0,4
54,15:24:23.703,Pigeon,LG,0.536000s,11,5,0.454545,30.000000,66.000000,0.454545,0,1
55,15:24:25.545,Pigeon,LG,1.025000s,20,9,0.450000,54.000000,120.000000,0.450000,0,4
56,15:24:25.599,Pigeon,LG,0.000000s,1,1,1.000000,6.000000,6.000000,1.000000,0,0
57,15:24:27.512,Pigeon,LG,1.615000s,25,5,0.200000,30.000000,150.000000,0.200000,0,5
58,15:24:28.075,Pigeon,LG,0.269000s,6,5,0.833333,30.000000,36.000000,0.833333,0,4
59,15:24:30.022,Pigeon,LG,1.278000s,19,7,0.368421,42.000000,114.000000,0.368421,0,3
60,15:24:31.050,Pigeon,LG,0.772000s,8,4,0.500000,24.000000,48.000000,0.500000,0,4
61,15:24:32.332,Pigeon,LG,0.647000s,13,5,0.384615,30.000000,78.000000,0.384615,0,2
62,15:24:33.809,Pigeon,LG,0.880000s,16,5,0.312500,30.000000,96.000000,0.312500,0,1
63,15:24:35.303,Pigeon,LG,0.648000s,13,6,0.461538,36.000000,78.000000,0.461538,0,3
64,15:24:35.817,Pigeon,LG,0.237000s,3,3,1.000000,18.000000,18.000000,1.000000,0,5
65,15:24:36.775,Pigeon,LG,0.213000s,5,5,1.000000,30.000000,30.000000,1.000000,0,3
66,15:24:37.989,Pigeon,LG,0.500000s,9,5,0.555556,30.000000,54.000000,0.555556,0,3
67,15:24:39.182,Pigeon,LG,0.267000s,6,5,0.833333,30.000000,36.000000,0.833333,0,4
