Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:32:17.414,test,Poke-Drill,1.886000s,135,52,0.385185,52.000000,135.000000,0.385185,0,25
2,20:32:19.715,test,Poke-Drill,1.933000s,136,68,0.500000,68.000000,136.000000,0.500000,0,25
3,20:32:21.924,test,Poke-Drill,1.843000s,130,70,0.538462,70.000000,130.000000,0.538462,0,25
4,20:32:24.199,test,Poke-Drill,1.900000s,134,67,0.500000,67.000000,134.000000,0.500000,0,25
5,20:32:30.975,test,Poke-Drill,6.403000s,449,144,0.320713,144.000000,449.000000,0.320713,0,25
6,20:32:32.326,test,Poke-Drill,1.031000s,73,40,0.547945,40.000000,73.000000,0.547945,0,21
7,20:32:34.628,test,Poke-Drill,1.943000s,137,52,0.379562,52.000000,137.000000,0.379562,0,25
8,20:32:41.457,test,Poke-Drill,6.459000s,453,156,0.344371,156.000000,453.000000,0.344371,0,25
9,20:32:44.914,test,Poke-Drill,3.088000s,217,89,0.410138,89.000000,217.000000,0.410138,0,25
10,20:32:47.247,test,Poke-Drill,1.957000s,138,56,0.405797,56.000000,138.000000,0.405797,0,25
11,20:32:50.811,test,Poke-Drill,3.197000s,225,84,0.373333,84.000000,225.000000,0.373333,0,25
12,20:32:51.881,test,Poke-Drill,0.698000s,50,40,0.800000,40.000000,50.000000,0.800000,0,24
13,20:32:57.131,test,Poke-Drill,4.889000s,343,140,0.408163,140.000000,343.000000,0.408163,0,25
14,20:33:01.476,test,Poke-Drill,3.974000s,279,69,0.247312,69.000000,279.000000,0.247312,0,25
15,20:33:03.774,test,Poke-Drill,1.932000s,136,55,0.404412,55.000000,136.000000,0.404412,0,25
16,20:33:05.129,test,Poke-Drill,0.984000s,70,40,0.571429,40.000000,70.000000,0.571429,0,25
17,20:33:06.769,test,Poke-Drill,1.273000s,90,48,0.533333,48.000000,90.000000,0.533333,0,25
18,20:33:08.781,test,Poke-Drill,1.647000s,116,58,0.500000,58.000000,116.000000,0.500000,0,24
19,20:33:11.287,test,Poke-Drill,2.144000s,151,78,0.516556,78.000000,151.000000,0.516556,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3732,1488,1488.0,3732.0,

Kills:,19
Deaths:,0
Fight Time:,49.181
Time Remaining:,0.0
Avg TTK:,4.511267
Damage Done:,1488.0
Total Overshots:,469
Damage Taken:,0.0
Hit Count:,1488
Miss Count:,2244
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,190.0
Scenario:,canTS Logic
Hash:,3a5ac36a511da043675a77917f5a5e2b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:32:15.155
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,271.358551
Resolution Scale:,100.0
