Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:54:34.843,test,Poke-Drill,0.958000s,70,45,0.642857,45.000000,70.000000,0.642857,0,25
2,13:54:36.858,test,Poke-Drill,1.642000s,116,57,0.491379,57.000000,116.000000,0.491379,0,25
3,13:54:39.974,test,Poke-Drill,2.743000s,193,82,0.424870,82.000000,193.000000,0.424870,0,25
4,13:54:41.084,test,Poke-Drill,0.743000s,53,40,0.754717,40.000000,53.000000,0.754717,0,25
5,13:54:42.502,test,Poke-Drill,1.044000s,74,40,0.540541,40.000000,74.000000,0.540541,0,25
6,13:54:43.688,test,Poke-Drill,0.817000s,58,40,0.689655,40.000000,58.000000,0.689655,0,25
7,13:54:46.068,test,Poke-Drill,2.012000s,142,61,0.429577,61.000000,142.000000,0.429577,0,25
8,13:54:48.345,test,Poke-Drill,1.902000s,134,60,0.447761,60.000000,134.000000,0.447761,0,25
9,13:54:50.225,test,Poke-Drill,1.513000s,107,54,0.504673,54.000000,107.000000,0.504673,0,25
10,13:54:52.956,test,Poke-Drill,2.374000s,167,82,0.491018,82.000000,167.000000,0.491018,0,23
11,13:54:55.540,test,Poke-Drill,2.225000s,157,77,0.490446,77.000000,157.000000,0.490446,0,25
12,13:54:58.470,test,Poke-Drill,2.558000s,180,80,0.444444,80.000000,180.000000,0.444444,0,25
13,13:55:01.516,test,Poke-Drill,2.673000s,188,77,0.409574,77.000000,188.000000,0.409574,0,25
14,13:55:07.796,test,Poke-Drill,5.956000s,418,156,0.373206,156.000000,418.000000,0.373206,0,21
15,13:55:11.725,test,Poke-Drill,3.572000s,251,88,0.350598,88.000000,251.000000,0.350598,0,24
16,13:55:15.299,test,Poke-Drill,3.215000s,226,79,0.349558,79.000000,226.000000,0.349558,0,24
17,13:55:18.597,test,Poke-Drill,2.970000s,209,78,0.373206,78.000000,209.000000,0.373206,0,22
18,13:55:21.755,test,Poke-Drill,2.798000s,197,81,0.411168,81.000000,197.000000,0.411168,0,25
19,13:55:23.983,test,Poke-Drill,1.859000s,131,61,0.465649,61.000000,131.000000,0.465649,0,25
20,13:55:28.642,test,Poke-Drill,4.286000s,301,122,0.405316,122.000000,301.000000,0.405316,0,25
21,13:55:32.424,test,Poke-Drill,3.412000s,240,71,0.295833,71.000000,240.000000,0.295833,0,24

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3688,1540,1540.0,3688.0,

Kills:,21
Deaths:,0
Fight Time:,51.271999
Time Remaining:,0.0
Avg TTK:,4.081623
Damage Done:,1540.0
Total Overshots:,513
Damage Taken:,0.0
Hit Count:,1540
Miss Count:,2148
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,210.0
Scenario:,canTS Logic
Hash:,3a5ac36a511da043675a77917f5a5e2b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,13:54:33.514
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,315.975616
Resolution Scale:,100.0
