Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,13:56:38.965,test,Poke-Drill,3.541000s,251,94,0.374502,94.000000,251.000000,0.374502,0,25
2,13:56:40.394,test,Poke-Drill,1.061000s,75,42,0.560000,42.000000,75.000000,0.560000,0,25
3,13:56:41.650,test,Poke-Drill,0.887000s,63,40,0.634921,40.000000,63.000000,0.634921,0,25
4,13:56:43.309,test,Poke-Drill,1.284000s,91,55,0.604396,55.000000,91.000000,0.604396,0,25
5,13:56:45.764,test,Poke-Drill,2.087000s,147,70,0.476190,70.000000,147.000000,0.476190,0,25
6,13:56:47.852,test,Poke-Drill,1.715000s,121,60,0.495868,60.000000,121.000000,0.495868,0,25
7,13:56:51.650,test,Poke-Drill,3.427000s,241,101,0.419087,101.000000,241.000000,0.419087,0,25
8,13:56:54.624,test,Poke-Drill,2.599000s,183,67,0.366120,67.000000,183.000000,0.366120,0,25
9,13:56:59.035,test,Poke-Drill,4.044000s,284,108,0.380282,108.000000,284.000000,0.380282,0,25
10,13:57:02.394,test,Poke-Drill,2.985000s,210,93,0.442857,93.000000,210.000000,0.442857,0,25
11,13:57:12.033,test,Poke-Drill,9.371000s,657,216,0.328767,216.000000,657.000000,0.328767,0,17
12,13:57:13.075,test,Poke-Drill,0.713000s,51,40,0.784314,40.000000,51.000000,0.784314,0,22
13,13:57:21.192,test,Poke-Drill,7.799000s,547,174,0.318099,174.000000,547.000000,0.318099,0,21
14,13:57:22.508,test,Poke-Drill,0.955000s,68,45,0.661765,45.000000,68.000000,0.661765,0,25
15,13:57:26.780,test,Poke-Drill,3.901000s,274,93,0.339416,93.000000,274.000000,0.339416,0,25
16,13:57:29.790,test,Poke-Drill,2.703000s,190,78,0.410526,78.000000,190.000000,0.410526,0,20
17,13:57:32.078,test,Poke-Drill,1.928000s,136,65,0.477941,65.000000,136.000000,0.477941,0,25
18,13:57:35.032,test,Poke-Drill,2.584000s,182,78,0.428571,78.000000,182.000000,0.428571,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,3771,1519,1519.0,3771.0,

Kills:,18
Deaths:,0
Fight Time:,53.584
Time Remaining:,0.0
Avg TTK:,4.761893
Damage Done:,1519.0
Total Overshots:,430
Damage Taken:,0.0
Hit Count:,1519
Miss Count:,2252
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,180.0
Scenario:,canTS Logic
Hash:,3a5ac36a511da043675a77917f5a5e2b
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,13:56:35.051
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,Kosei.png
Crosshair Scale:,0.8
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,302.161926
Resolution Scale:,100.0
