Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:18:44.071,air1_close_long,LG,14.637001s,1465,553,0.377474,721.111938,1910.333130,0.377480,0,25
2,15:19:08.236,air1_close_long,LG,23.903002s,2314,553,0.238980,721.111938,3017.391113,0.238985,0,25
3,15:19:47.147,air1_close_long,LG,38.653004s,2994,553,0.184703,721.111938,3904.080566,0.184707,0,25
4,15:20:15.426,air1_close_long,LG,28.017002s,2196,553,0.251821,721.111938,2863.524414,0.251827,0,25
5,15:21:53.515,air1_close_long,LG,97.831001s,1939,553,0.285199,721.111938,2528.407959,0.285204,0,25
6,15:22:39.430,air1_close_long,LG,45.660004s,2310,553,0.239394,721.111938,3012.175293,0.239399,0,25
7,15:22:55.207,air1_close_long,LG,15.518001s,1272,553,0.434748,721.111938,1658.669800,0.434753,0,25
8,15:23:18.155,air1_close_long,LG,22.944000s,1945,553,0.284319,721.111938,2536.231689,0.284324,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,16435,4424,5769.049316,21432.607422,

Kills:,8
Deaths:,0
Fight Time:,287.162994
Time Remaining:,0.0
Avg TTK:,24.137823
Damage Done:,5769.049316
Total Overshots:,175
Damage Taken:,0.0
Hit Count:,4424
Miss Count:,12011
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5769.049316
Scenario:,gp close long strafes 5m
Hash:,8c546755ff6398a171788320ba0b69d1
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:18:28.761
Pause Count:,4
Pause Duration:,97

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,232.012955
Resolution Scale:,100.0
