Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:27:48.680,air1_close_long,LG,16.329000s,1635,553,0.338226,721.111938,2132.005615,0.338232,0,25
2,15:28:06.037,air1_close_long,LG,17.098001s,1711,553,0.323203,721.111938,2231.106201,0.323208,0,25
3,15:28:24.857,air1_close_long,LG,18.562000s,1830,553,0.302186,721.111938,2386.276855,0.302191,0,25
4,15:28:40.047,air1_close_long,LG,14.929001s,1494,553,0.370147,721.111938,1948.147827,0.370153,0,25
5,15:28:56.238,air1_close_long,LG,15.931001s,1594,553,0.346926,721.111938,2078.543457,0.346931,0,25
6,15:29:12.120,air1_close_long,LG,15.622001s,1563,553,0.353807,721.111938,2038.120728,0.353812,0,25
7,15:29:27.568,air1_close_long,LG,15.191001s,1520,553,0.363816,721.111938,1982.050659,0.363821,0,25
8,15:29:43.687,air1_close_long,LG,15.858001s,1587,553,0.348456,721.111938,2069.415771,0.348462,0,25
9,15:29:56.998,air1_close_long,LG,13.050000s,1306,553,0.423430,721.111938,1703.004272,0.423435,0,25
10,15:30:15.050,air1_close_long,LG,17.787001s,1780,553,0.310674,721.111938,2321.079102,0.310680,0,25
11,15:30:43.248,air1_close_long,LG,27.941002s,1801,553,0.307052,721.111938,2348.462158,0.307057,0,25
12,15:31:01.139,air1_close_long,LG,17.634001s,1764,553,0.313492,721.111938,2300.215820,0.313498,0,25
13,15:31:20.092,air1_close_long,LG,18.696001s,1868,553,0.296039,721.111938,2435.827148,0.296044,0,25
14,15:31:36.604,air1_close_long,LG,16.249001s,1626,553,0.340098,721.111938,2120.270020,0.340104,0,25
15,15:31:50.833,air1_close_long,LG,13.970000s,1398,553,0.395565,721.111938,1822.968140,0.395570,0,25
16,15:32:07.391,air1_close_long,LG,16.303001s,1631,553,0.339056,721.111938,2126.789795,0.339061,0,25
17,15:32:26.670,air1_close_long,LG,19.018002s,1903,553,0.290594,721.111938,2481.465576,0.290599,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,29490,9784,12757.84668,38465.300781,

Kills:,17
Deaths:,0
Fight Time:,290.167999
Time Remaining:,0.0
Avg TTK:,17.647594
Damage Done:,12757.84668
Total Overshots:,425
Damage Taken:,0.0
Hit Count:,9784
Miss Count:,19706
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,12757.84668
Scenario:,gp close long strafes 5m inf lives
Hash:,282adeade19b8d1657ac07c6ccae7341
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:27:32.089
Pause Count:,1
Pause Duration:,9

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,214.120148
Resolution Scale:,100.0
