Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:16:08.227,air1_far_long,LG,15.296000s,1531,553,0.361202,721.111938,1996.394165,0.361207,0,24
2,15:16:23.918,air1_far_long,LG,14.825001s,1484,553,0.372642,721.111938,1935.108276,0.372647,0,25
3,15:16:40.289,air1_far_long,LG,16.109001s,1558,553,0.354942,721.111938,2031.600952,0.354948,0,25
4,15:16:59.199,air1_far_long,LG,18.652000s,1809,553,0.305694,721.111938,2358.893799,0.305699,0,25
5,15:17:14.500,air1_far_long,LG,15.037001s,1450,553,0.381379,721.111938,1890.773804,0.381385,0,25
6,15:17:30.492,air1_far_long,LG,15.733001s,1527,553,0.362148,721.111938,1991.178345,0.362153,0,25
7,15:17:48.995,air1_far_long,LG,18.241001s,1771,553,0.312253,721.111938,2309.343506,0.312258,0,25
8,15:18:07.277,air1_far_long,LG,18.273001s,1781,553,0.310500,721.111938,2322.383057,0.310505,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,12911,4424,5769.049316,16834.888672,

Kills:,8
Deaths:,0
Fight Time:,132.166
Time Remaining:,0.0
Avg TTK:,16.899881
Damage Done:,5769.049316
Total Overshots:,174
Damage Taken:,0.0
Hit Count:,4424
Miss Count:,8487
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,5769.049316
Scenario:,gp far long strafes 5m
Hash:,47b628255deab5d406c5062c6defaff9
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:15:52.034
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,230.734558
Resolution Scale:,100.0
