Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,15:22:28.662,air1_far_long,LG,11.831000s,1185,553,0.466667,721.111938,1545.225708,0.466671,0,25
2,15:22:41.265,air1_far_long,LG,12.342001s,1235,553,0.447773,721.111938,1610.423462,0.447778,0,25
3,15:22:56.246,air1_far_long,LG,14.721001s,1473,553,0.375424,721.111938,1920.764771,0.375430,0,25
4,15:23:11.141,air1_far_long,LG,14.641001s,1465,553,0.377474,721.111938,1910.333130,0.377480,0,25
5,15:23:21.274,air1_far_long,LG,9.869000s,988,553,0.559717,721.111938,1288.346558,0.559719,0,25
6,15:23:32.074,air1_far_long,LG,10.542001s,1055,553,0.524171,721.111938,1375.711548,0.524174,0,25
7,15:23:44.320,air1_far_long,LG,11.987000s,1200,553,0.460833,721.111938,1564.785034,0.460838,0,25
8,15:23:56.993,air1_far_long,LG,12.413001s,1242,553,0.445250,721.111938,1619.551147,0.445254,0,25
9,15:24:08.244,air1_far_long,LG,10.988001s,1100,553,0.502727,721.111938,1434.389526,0.502731,0,25
10,15:24:21.620,air1_far_long,LG,13.121000s,1313,553,0.421173,721.111938,1712.131958,0.421178,0,25
11,15:24:31.341,air1_far_long,LG,9.460000s,947,553,0.583949,721.111938,1234.884399,0.583951,0,25
12,15:24:42.325,air1_far_long,LG,10.720000s,1073,553,0.515377,721.111938,1399.182739,0.515381,0,25
13,15:24:54.922,air1_far_long,LG,12.340000s,1235,553,0.447773,721.111938,1610.423462,0.447778,0,25
14,15:25:04.876,air1_far_long,LG,9.689000s,970,553,0.570103,721.111938,1264.875366,0.570105,0,25
15,15:25:18.502,air1_far_long,LG,13.369000s,1338,553,0.413303,721.111938,1744.730835,0.413308,0,25
16,15:25:30.491,air1_far_long,LG,11.728001s,1174,553,0.471039,721.111938,1530.882202,0.471043,0,25
17,15:25:43.025,air1_far_long,LG,12.267000s,1228,553,0.450326,721.111938,1601.295776,0.450330,0,25
18,15:25:55.763,air1_far_long,LG,12.483001s,1249,553,0.442754,721.111938,1628.678833,0.442759,0,25
19,15:26:09.568,air1_far_long,LG,13.539001s,1339,553,0.412995,721.111938,1746.034790,0.413000,0,25
20,15:26:21.888,air1_far_long,LG,12.059001s,1207,553,0.458161,721.111938,1573.912720,0.458165,0,25
21,15:26:35.827,air1_far_long,LG,13.684001s,1369,553,0.403944,721.111938,1785.153442,0.403950,0,25
22,15:26:46.329,air1_far_long,LG,10.240001s,1025,553,0.539512,721.111938,1336.592896,0.539515,0,25
23,15:26:57.725,air1_far_long,LG,11.139001s,1115,553,0.495964,721.111938,1453.948853,0.495968,0,25
24,15:27:08.841,air1_far_long,LG,10.853001s,1086,553,0.509208,721.111938,1416.134155,0.509212,0,25

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,29385,13532,17645.099609,38328.308594,

Kills:,24
Deaths:,0
Fight Time:,286.024994
Time Remaining:,0.0
Avg TTK:,12.500379
Damage Done:,17645.099609
Total Overshots:,600
Damage Taken:,0.0
Hit Count:,13532
Miss Count:,15853
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,17645.099609
Scenario:,gp far long strafes 5m inf lives
Hash:,d168036106b5bc6626a9660dbad1a6ed
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,15:22:16.574
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,202.915543
Resolution Scale:,100.0
