Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,20:58:34.941,Quaker Bot Long Strafes,MGV2,1.328000s,44,10,0.227273,1.001000,8.808803,0.113636,0,8
2,20:58:36.151,Quaker Bot Long Strafes,MGV2,0.928000s,31,10,0.322581,1.001000,6.206202,0.161290,0,8
3,20:58:38.105,Quaker Bot Long Strafes,MGV2,1.678000s,55,10,0.181818,1.001000,11.011003,0.090909,0,8
4,20:58:39.779,Quaker Bot Long Strafes,MGV2,1.397000s,46,10,0.217391,1.001000,9.209203,0.108696,0,8
5,20:58:42.289,Quaker Bot Long Strafes,MGV2,2.234000s,73,11,0.150685,1.101100,14.614605,0.075342,0,8
6,20:58:43.836,Quaker Bot Long Strafes,MGV2,1.425000s,47,10,0.212766,1.001000,9.409403,0.106383,0,2
7,20:58:45.110,Quaker Bot Long Strafes,MGV2,1.021000s,34,9,0.264706,0.900900,6.806802,0.132353,0,8
8,20:58:46.534,Quaker Bot Long Strafes,MGV2,1.143000s,38,10,0.263158,1.001000,7.607602,0.131579,0,8
9,20:58:48.151,Quaker Bot Long Strafes,MGV2,1.333000s,44,10,0.227273,1.001000,8.808803,0.113636,0,8
10,20:58:49.726,Quaker Bot Long Strafes,MGV2,1.299000s,43,10,0.232558,1.001000,8.608603,0.116279,0,8
11,20:58:51.528,Quaker Bot Long Strafes,MGV2,1.520000s,50,10,0.200000,1.001000,10.010003,0.100000,0,8
12,20:58:53.447,Quaker Bot Long Strafes,MGV2,1.643000s,54,10,0.185185,1.001000,10.810803,0.092593,0,8
13,20:58:55.308,Quaker Bot Long Strafes,MGV2,1.579000s,52,10,0.192308,1.001000,10.410403,0.096154,0,8
14,20:58:56.703,Quaker Bot Long Strafes,MGV2,1.115000s,37,10,0.270270,1.001000,7.407402,0.135135,0,8
15,20:58:57.573,Quaker Bot Long Strafes,MGV2,0.592000s,20,10,0.500000,1.001000,4.004001,0.250000,0,8
16,20:58:58.438,Quaker Bot Long Strafes,MGV2,0.588000s,20,10,0.500000,1.001000,4.004001,0.250000,0,8
17,20:59:00.177,Quaker Bot Long Strafes,MGV2,1.456000s,48,10,0.208333,1.001000,9.609603,0.104167,0,8
18,20:59:01.629,Quaker Bot Long Strafes,MGV2,1.178000s,39,10,0.256410,1.001000,7.807802,0.128205,0,8
19,20:59:03.028,Quaker Bot Long Strafes,MGV2,1.118000s,37,10,0.270270,1.001000,7.407402,0.135135,0,8
20,20:59:04.577,Quaker Bot Long Strafes,MGV2,1.269000s,42,10,0.238095,1.001000,8.408402,0.119048,0,8
21,20:59:05.910,Quaker Bot Long Strafes,MGV2,1.051000s,35,10,0.285714,1.001000,7.007002,0.142857,0,8
22,20:59:08.640,Quaker Bot Long Strafes,MGV2,2.449000s,80,10,0.125000,1.001000,16.016005,0.062500,0,8
23,20:59:09.880,Quaker Bot Long Strafes,MGV2,0.960000s,32,10,0.312500,1.001000,6.406402,0.156250,0,8
24,20:59:12.608,Quaker Bot Long Strafes,MGV2,2.452000s,80,10,0.125000,1.001000,16.016005,0.062500,0,8
25,20:59:14.158,Quaker Bot Long Strafes,MGV2,1.272000s,42,10,0.238095,1.001000,8.408402,0.119048,0,8
26,20:59:15.675,Quaker Bot Long Strafes,MGV2,1.240000s,41,10,0.243902,1.001000,8.208202,0.121951,0,8
27,20:59:17.603,Quaker Bot Long Strafes,MGV2,1.649000s,44,10,0.227273,1.001000,8.808803,0.113636,0,8
28,20:59:18.656,Quaker Bot Long Strafes,MGV2,0.773000s,26,10,0.384615,1.001000,5.205201,0.192308,0,8
29,20:59:19.991,Quaker Bot Long Strafes,MGV2,1.056000s,35,10,0.285714,1.001000,7.007002,0.142857,0,8
30,20:59:21.795,Quaker Bot Long Strafes,MGV2,1.520000s,50,10,0.200000,1.001000,10.010003,0.100000,0,8
31,20:59:23.774,Quaker Bot Long Strafes,MGV2,1.708000s,56,10,0.178571,1.001000,11.211204,0.089286,0,8
32,20:59:24.795,Quaker Bot Long Strafes,MGV2,0.745000s,25,10,0.400000,1.001000,5.005001,0.200000,0,8
33,20:59:28.173,Quaker Bot Long Strafes,MGV2,3.100000s,101,17,0.168317,1.701700,20.220186,0.084158,0,8
34,20:59:31.089,Quaker Bot Long Strafes,MGV2,2.633000s,86,21,0.244186,2.102100,17.217199,0.122093,0,8
35,20:59:32.201,Quaker Bot Long Strafes,MGV2,0.833000s,28,5,0.178571,0.500500,5.605601,0.089286,0,8
36,20:59:32.768,Quaker Bot Long Strafes,MGV2,0.526000s,18,4,0.222222,0.400400,3.603601,0.111111,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,1633,367,36.736668,326.922699,

Kills:,36
Deaths:,0
Fight Time:,49.811001
Time Remaining:,0.0
Avg TTK:,1.666657
Damage Done:,36.736668
Total Overshots:,274
Damage Taken:,0.0
Hit Count:,367
Miss Count:,1266
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,36.736668
Scenario:,kinTS Voltaic Easy
Hash:,50613b17862fda5ee6611d4317895052
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,20:58:32.801
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,208.082596
Resolution Scale:,100.0
