Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,22:35:09.282,Quaker Bot Long Strafes,MGV2,0.460000s,16,10,0.625000,1.001000,3.203200,0.312500,0,4
2,22:35:10.745,Quaker Bot Long Strafes,MGV2,0.867000s,29,10,0.344828,1.001000,5.805801,0.172414,0,8
3,22:35:11.924,Quaker Bot Long Strafes,MGV2,0.899000s,30,10,0.333333,1.001000,6.006001,0.166667,0,8
4,22:35:13.749,Quaker Bot Long Strafes,MGV2,1.551000s,51,10,0.196078,1.001000,10.210203,0.098039,0,8
5,22:35:16.566,Quaker Bot Long Strafes,MGV2,2.541000s,81,10,0.123457,1.001000,16.216204,0.061728,0,8
6,22:35:18.360,Quaker Bot Long Strafes,MGV2,1.301000s,33,10,0.303030,1.001000,6.606602,0.151515,0,8
7,22:35:20.026,Quaker Bot Long Strafes,MGV2,1.385000s,42,10,0.238095,1.001000,8.408402,0.119048,0,8
8,22:35:21.884,Quaker Bot Long Strafes,MGV2,1.583000s,30,10,0.333333,1.001000,6.006001,0.166667,0,8
9,22:35:23.218,Quaker Bot Long Strafes,MGV2,1.056000s,35,10,0.285714,1.001000,7.007002,0.142857,0,8
10,22:35:24.949,Quaker Bot Long Strafes,MGV2,1.461000s,36,10,0.277778,1.001000,7.207202,0.138889,0,7
11,22:35:25.937,Quaker Bot Long Strafes,MGV2,0.492000s,17,10,0.588235,1.001000,3.403400,0.294118,0,7
12,22:35:28.545,Quaker Bot Long Strafes,MGV2,1.641000s,54,10,0.185185,1.001000,10.810803,0.092593,0,8
13,22:35:29.626,Quaker Bot Long Strafes,MGV2,0.803000s,27,10,0.370370,1.001000,5.405401,0.185185,0,8
14,22:35:32.579,Quaker Bot Long Strafes,MGV2,2.670000s,45,10,0.222222,1.001000,9.009003,0.111111,0,8
15,22:35:34.219,Quaker Bot Long Strafes,MGV2,1.363000s,45,10,0.222222,1.001000,9.009003,0.111111,0,8
16,22:35:35.832,Quaker Bot Long Strafes,MGV2,1.331000s,44,10,0.227273,1.001000,8.808803,0.113636,0,8
17,22:35:36.420,Quaker Bot Long Strafes,MGV2,0.309000s,11,10,0.909091,1.001000,2.202200,0.454545,0,8
18,22:35:38.248,Quaker Bot Long Strafes,MGV2,1.549000s,51,10,0.196078,1.001000,10.210203,0.098039,0,8
19,22:35:40.078,Quaker Bot Long Strafes,MGV2,1.546000s,51,10,0.196078,1.001000,10.210203,0.098039,0,8
20,22:35:41.847,Quaker Bot Long Strafes,MGV2,1.488000s,49,10,0.204082,1.001000,9.809803,0.102041,0,8
21,22:35:44.805,Quaker Bot Long Strafes,MGV2,2.680000s,76,10,0.131579,1.001000,15.215205,0.065789,0,8
22,22:35:46.982,Quaker Bot Long Strafes,MGV2,1.899000s,62,10,0.161290,1.001000,12.412404,0.080645,0,8
23,22:35:48.351,Quaker Bot Long Strafes,MGV2,1.088000s,36,10,0.277778,1.001000,7.207202,0.138889,0,8
24,22:35:49.491,Quaker Bot Long Strafes,MGV2,0.867000s,29,10,0.344828,1.001000,5.805801,0.172414,0,8
25,22:35:50.579,Quaker Bot Long Strafes,MGV2,0.807000s,27,10,0.370370,1.001000,5.405401,0.185185,0,8
26,22:35:51.572,Quaker Bot Long Strafes,MGV2,0.712000s,24,10,0.416667,1.001000,4.804801,0.208333,0,8
27,22:35:54.052,Quaker Bot Long Strafes,MGV2,2.200000s,72,10,0.138889,1.001000,14.414405,0.069444,0,8
28,22:35:55.198,Quaker Bot Long Strafes,MGV2,0.869000s,29,10,0.344828,1.001000,5.805801,0.172414,0,8
29,22:35:56.621,Quaker Bot Long Strafes,MGV2,1.147000s,38,10,0.263158,1.001000,7.607602,0.131579,0,8
30,22:35:58.486,Quaker Bot Long Strafes,MGV2,1.580000s,52,10,0.192308,1.001000,10.410403,0.096154,0,8
31,22:36:01.308,Quaker Bot Long Strafes,MGV2,2.541000s,83,10,0.120482,1.001000,16.616602,0.060241,0,8
32,22:36:03.847,Quaker Bot Long Strafes,MGV2,1.608000s,53,10,0.188679,1.001000,10.610603,0.094340,0,8
33,22:36:05.734,Quaker Bot Long Strafes,MGV2,1.615000s,53,11,0.207547,1.101100,10.610603,0.103774,0,8
34,22:36:06.789,Quaker Bot Long Strafes,MGV2,0.774000s,26,9,0.346154,0.900900,5.205201,0.173077,0,8
35,22:36:07.954,Quaker Bot Long Strafes,MGV2,0.962000s,32,10,0.312500,1.001000,6.406402,0.156250,0,5

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MGV2,1469,350,35.034943,294.090668,

Kills:,35
Deaths:,0
Fight Time:,47.645
Time Remaining:,0.0
Avg TTK:,1.714276
Damage Done:,35.034943
Total Overshots:,271
Damage Taken:,0.0
Hit Count:,350
Miss Count:,1119
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,35.034943
Scenario:,kinTS Voltaic Easy
Hash:,50613b17862fda5ee6611d4317895052
Game Version:,3.5.4.2024-05-24-14-41-42-7f44301bd0
Challenge Start:,22:35:07.983
Pause Count:,0
Pause Duration:,0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Valorant
Sens Increment:,0.199886
Horiz Sens:,0.2
Vert Sens:,0.2
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,interxhair.png
Crosshair Scale:,1.0
Crosshair Color:,000000FF
Resolution:,1920x1080
Avg FPS:,189.151047
Resolution Scale:,100.0
