Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,16:50:05.243,Quaker Bot Long Strafes,MGV2,0.616000s,21,5,0.238095,1.000500,4.202099,0.238095,0,8
2,16:50:06.142,Quaker Bot Long Strafes,MGV2,0.622000s,21,5,0.238095,1.000500,4.202099,0.238095,0,8
3,16:50:07.103,Quaker Bot Long Strafes,MGV2,0.681000s,23,5,0.217391,1.000500,4.602299,0.217391,0,8
4,16:50:08.064,Quaker Bot Long Strafes,MGV2,0.681000s,23,5,0.217391,1.000500,4.602299,0.217391,0,8
5,16:50:08.869,Quaker Bot Long Strafes,MGV2,0.528000s,18,5,0.277778,1.000500,3.601799,0.277778,0,8
6,16:50:09.331,Quaker Bot Long Strafes,MGV2,0.186000s,7,5,0.714286,1.000500,1.400700,0.714286,0,8
7,16:50:10.511,Quaker Bot Long Strafes,MGV2,0.901000s,30,5,0.166667,1.000500,6.002999,0.166667,0,8
8,16:50:11.629,Quaker Bot Long Strafes,MGV2,0.837000s,28,5,0.178571,1.000500,5.602799,0.178571,0,8
9,16:50:12.806,Quaker Bot Long Strafes,MGV2,0.899000s,30,5,0.166667,1.000500,6.002999,0.166667,0,8
10,16:50:13.457,Quaker Bot Long Strafes,MGV2,0.371000s,13,5,0.384615,1.000500,2.601300,0.384615,0,8
11,16:50:14.234,Quaker Bot Long Strafes,MGV2,0.496000s,17,5,0.294118,1.000500,3.401699,0.294118,0,8
12,16:50:15.409,Quaker Bot Long Strafes,MGV2,0.898000s,30,5,0.166667,1.000500,6.002999,0.166667,0,8
13,16:50:16.244,Quaker Bot Long Strafes,MGV2,0.556000s,19,5,0.263158,1.000500,3.801899,0.263158,0,8
14,16:50:17.082,Quaker Bot Long Strafes,MGV2,0.559000s,19,5,0.263158,1.000500,3.801899,0.263158,0,8
15,16:50:18.203,Quaker Bot Long Strafes,MGV2,0.837000s,28,5,0.178571,1.000500,5.602799,0.178571,0,8
16,16:50:19.098,Quaker Bot Long Strafes,MGV2,0.619000s,21,5,0.238095,1.000500,4.202099,0.238095,0,8
